Name of Foreign Business,Address (HO),Address (Main Operating Office),Type of Organization,Type of investment,Date Organized,Type of Business,US Company,American Owner - Address,Owned Through (Allied Foreign Organization),Principal Properties of Foreign Business,Production Data,Organizations Allied with the Foreign Organization,Directors and Officers of the Foreign Organization,Proportionate Interest of Persons other than Reporter,"License Agreements, Franchises, and Contracts",Percent Owned,Total Value of Interest Reported - Cost Per Book of Immediate Parent,Total Value of Interest Reported - Value Per Books of Foreign Organization In Currency Used,Total Value of Interest Reported - Value Per Books of Foreign Organization In USD or Currency of Immediate Parent,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Cost Per Book,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in Currency Used,Investment of Foreign Organization in Securties and Obligation of Immediate Parent - Value Per Books of Foreign Organization in USD or Currency of Immediate Parent,"Property Reported Damaged, Destroyed, or Seized Between Jan 1, 1938 and May 1943", ford report amount ,X/S,Property Reported Damaged,additional notes,type_Partnership,type_branch,type_ownership,type_unknown
Nica Nickelindustrie A.G.,,,Corporation (Aktiengesellschaft),ownership,about 1930,,American Nickel Alloy Mfg. Corp.,,N. V. Chemo Metallurgische Industrie,,,,,,,99%,"Rm. 200,000","Rm. 278,287","$111,593 ",NA,NA,NA,,,0.0,"All property located in Germany, especially the valuale factory and Nica Nickelindustrie A.G., was probably taken over by the Nazis through forced sale.",,False,False,True,False
"Nickel Informationburo, G.m.b.H.",,,GmbH,ownership,3-Aug-27,,"The International Nickel Company, Inc.",,NA,,,,,,,100%,"$10,023 ","Rm. 37,156","$14,899 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Norddeustche Eiswerke A.G.,,,Corporation (Aktiengesellschaft),ownership,1872,,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,54%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Norddeustche Mineraloelwerke Stettin G.m.b.H.,,,GmbH,ownership,6-Jan-40,,Standard Oil Company (New Jersey),,Deustche-Amerikanische Petroleum-Gesellschaft,,,,,,,50%,"$1,250,000 ",NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Norddeutsche Oelmuehlenwerke A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,Hugo Stinnes Corporation,,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,30%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Norddeutsche Portland Cementfabrik Misburg,,,unknown,unknown,"May 6, 1898",,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,30%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,False,True
Nord-Europaeische Oel,,,GmbH,unknown,NA,,North European Oil Corp.,,NA,,,,,,,100%,"$5,255 ","Rm. 15,054","$5,255 ",NA,NA,NA,,,0.0,NA,,False,False,False,True
Northeastern Insurance Co. of Hartford,,,Branch,branch,1926,,Northeastern Insurance Company of Hartford,,NA,,,,,,,NA,"$188,244 ","Rm. 464,448","$156,244 ",NA,NA,NA,,,0.0,NA,,False,True,False,False
Nuernberger Kohlenhandles G.m.b.H.,,,GmbH,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,25%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Oberrheinische Kohlenvertretung,,,Branch,branch,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,True,False,False
Oelwerke Julius Schindler G.m.b.H.,,,GmbH,ownership,7-Dec-20,,Pure Oil Co.,,NA,,,,,,,40%,"$475,268 ","Rm. 1,742,765","$698,849 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Oelwerke Julius Schindler G.m.b.H.,,,GmbH,ownership,7-Dec-20,,The Pure Oil Company,,NA,,,,,,,NA,"$473,261 ","Rm. 1,742,765","$698,849 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Oldenburgische Erdol Gesellschaft m.b.H.,,,GmbH,ownership,8-Feb-29,,Jadev Corporation,,"Gewerkschaft Brigitta (Ferdinandstrasse 27 Hanover, Germany",,,,,,,33%,"$2,500 ",NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Oldenburgische Erdol Gesellschaft m.b.H.,,,GmbH,ownership,8-Feb-29,,Jadev Corporation,,Allgemeine Erdol Gesellschaft m.b.H.,,,,,,,33%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Opel Automobil Versicherungs A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,General Motors Corporation (Overseas Operations),,Adam Opel Aktiengesellschaft,,,,,,,100%,"Rm. 1,220,161","Rm. 2,543,750","$1,020,043 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Oppelener Lagerhaus Gesellschaft,,,GmbH,ownership,NA,,Witroth Corporation,,"Witkowitz Mines, Steel & Iron Works Corp. (Ostrava, Czechoslovakia)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Oppenheimer Casing Co. m.b.H. Hamburg,,,GmbH,ownership,1922,,Oppenheimer Casing Co. Del.,,NA,,,,,,,100%,"$22,258 ","Rm. 34,971","$114,023 ",NA,NA,NA,,,0.0,Property presumed to have been seized or confiscated after beginning of hostilities,,False,False,True,False
Orga Akt. Ges.,,,Corporation (Aktiengesellschaft),ownership,NA,,"Royal Typewriter Company, Inc.",,Royal Schriebmaschinen G.m.b.H.,,,,,,,80%,"Rm. 177,049",NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Osram G.m.b.H. Kommanditgesellschaft,,,Kommanditgesellschaft,Partnership,1-Jul-19,,International General Electric Company Inc.,,NA,,,,,,,"Partnership, Net proprietorship interest 21.45%","$7,054,352 ","Rm. 16,596,844","$6,625,334 ","$138,625 ","Rm. 3,013,567","$1,208,440 ",,,0.0,NA,,True,False,False,False
Ostrhederei,,,GmbH,ownership,NA,,Witroth Corporation,,"Witkowitz Mines, Steel & Iron Works Corp. (Ostrava, Czechoslovakia)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Ota Schlesische Schurwerke Ottmuth A.G.,,,Corporation (Aktiengesellschaft),ownership,about 1930,,Westhold Corporation,,NA,,,,,,,55%,$355 ,"Rm. 1,100,000","$441,100 ",NA,NA,NA,,,0.0,"The company named in Part B has since about 1938 been controlled by a Nazi committee when the stockholders were required to designate as proxies or Voting Trustees. In 1940 the Nazis declined to recognize reporter as owner of the above described stock. Reporter has no information as to what has since happened to the property.
The certificates for this stock are held in custody account for reporter by the London office of Guaranty Trust Company, which company has been instructed by the British Ministry of Economic Warfare not to deliver the certificates to reporter, on the ground that said Ministry states that reporter is ""deemed to have an enemy status.""",,False,False,True,False
Otis Aufzugswerke G.m.b.H.,,,GmbH,ownership,1931,,Otis Elevator Company,,NA,,,,,,,100%,"$2,019,522 ","$4,039,789 ","$1,619,955 ","$217,449 ","Rm. 760,490","$403,956 ",,,0.0,NA,,False,False,True,False
Ottensenser Eisenwerke A.G.,,,Corporation (Aktiengesellschaft),ownership,"September 12,1889",,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,34%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
The Overseas Casing Co. m.b.H.,,,GmbH,ownership,October 1924,,"Berth, Levi & Co. Inc.",,NA,,,,,,,100%,"$1,200 ","Rm. 121,324.90","$48,651 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Palmolive-Binder & Ketals G.m.b.H.,,,GmbH,ownership,12-Nov-25,,Colgate-Palmolive-Peet Co.,,NA,,,,,,,89%,"$872,199 ","Rm. 4,537,602.11","$1,819,578 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Paramount Film Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,30-Jul-31,,"Paramount Pictures, Inc.",,NA,,,,,,,100%,"$117,197 ","Rm. 511,946.83","$205,290 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Parfume Lentheric, G.m.b.H.",,,GmbH,ownership,3-Jul-28,,"Lentheric, Incorporated",,NA,,,,,,,100%,"$518,190 ","Rm. 466,177.77","$186,937 ",NA,NA,NA,,,0.0,"It is not known whether property has been damaged, destroyed or seized. Total investment on books of Lentheric has been charged off. 
Journal Entry:
Earned Surplus $508,104.03
Reserved for investment in Lentheric Parfume, G.m.b.H. $508,104.03",,False,False,True,False
"Peat, Marwick, Mitchell & Co. (Berlin Partnership)",,,unknown,Partnership,1-Oct-24,,"Peat, Marwick, Mitchell & Co. (General Partnership)",,NA,,,,,,,NA,"$5,128 ","Rm. 12,788","$5,128 ",NA,NA,NA,,,0.0,"Our property consisted of cash, accounts receivable and furniture and fixtures. We believd it has been seized by the enemy.",,True,False,False,False
Permutit Filter Co. G.m.b.H.,,,GmbH,ownership,23-Jul-09,,The Permutit Company,,NA,,,,,,,100%,"$1,344 ","Rm. 9,700","$3,889 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Petrolifer Rohoelcompagnie A.G.,,,Corporation (Aktiengesellschaft),ownership,2-Jan-34,,"Socony-Vacuum Oil Company, Inc.",,"Deutsche Vacuum Oel, A.G.",,,,,,,51%,"Rm. 256,000","Rm. 83,232","$33,376 ","Rm. 37,824","Rm. 37,824","$15,167 ",,,0.0,"We have no information presently available here as to possible losses and damage caused by the war on ""scorched earth"" policy of any country property reported hereon and no representation is made that losses and damage may not have been incurred.",,False,False,True,False
"Pfaudler Werke, A.G.",,,Corporation (Aktiengesellschaft),ownership,1907,,The Pfaudler Co.,,NA,,,,,,,100%,"$739,737 ","Rm. 1,434,409","$575,198 ",NA,NA,NA,,,0.0,"In November 1939 the American Management in Pfaudler-Werke were informed by the German Government that it was necessary for them to appoint a German national as manager of the company. As a result a German national was selected who assumed management of the plant and the American Representatives subsequently left Germany and returned to the USA.
Since that time little or no information as to the affairs of the company has reached us and we can only assumed that the property has been seized by the German Government (see attachment for journal entry)",,False,False,True,False
Philip Morris & Co. Limited G.m.b.H.,,,GmbH,ownership,1928,,"Philip Morris & Co. Ltd., Inc.",,Philip Morris & Co. Limited (London),,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Photochemie Kommandit Gesellschaft,Kommandit Gesellschaft,,Kommanditgesellschaft,ownership,NA,,"Swiss ""Borvisk"" Company",,NA,,,,,,,50%,"$150,000 ","Rm. 374,065","$150,000 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Piehl & Pehling,,,Branch,ownership,Prior to 1926,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Powers G.m.b.H.,,,GmbH,ownership,17-Jan-14,,Remington Rand Inc.,,NA,,,,,,,100%,"$400,018 ","Rm. 1,958,612","$785,403 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Pressluftwerkung und Maschinenbau Aktiengesellschaft (Premag),,,Corporation (Aktiengesellschaft),ownership,NA,,Chicago Pneumatic Tool Co.,,NA,,,,,,,70%,"$304,736 ","Rm. 1,037,957","$416,221 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Pressluftwerkung und Maschinenbau Aktiengesellschaft (Premag),,,Corporation (Aktiengesellschaft),ownership,31-May-05,,Chicago Pneumatic Tool Co.,,International Pressluft und Elektrizitate G.m.b.H.,,,,,,,25%,"Rm. 933,732","Rm. 1,214,419","$486,982 ","Rm. 17,862","Rm. 17,862","$486,982 ",,,0.0,NA,,False,False,True,False
International Mortgage & Investment Corporation,,,Branch,branch,NA,,International Mortgage & Investment Corporation c/o Alien Property Custodian,,NA,,,,,,,NA,"$152,767 ",NA,"$155,958 ",NA,NA,NA,,,0.0,No information available concerning possible damage to real estate in Germany or seizure or confiscation of same or any other assets.,,False,True,False,False
"Price, Waterhouse & Co.",,,unknown,Partnership,30-Jun-31,,"Price, Waterhouse & Co.",,NA,,,,,,,"Partnership, Net proprietorship interest 9%","$10,245 ","Rm. 55,855","$22,398 ",NA,NA,NA,,,0.0,"Investment was written off against income on reporter's books as of June 30, 1940",,True,False,False,False
Privatanschlussbahn Borgsdorf-Birkenwerder G.m.b.H.,,,GmbH,ownership,5-Jan-06,,Standard Oil Company (New Jersey),,Deutsche Gasolin Aktiengesellschaft,,,,,,,86%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"Quaker Nahrmittel, G.m.b.H.",,,GmbH,ownership,NA,,Quaker Oats Co.,,NA,,,,,,,100%,"$244,403 ","Rm. 1,338,035","$536,552 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Quaker Oats Co. G.m.b.H.,,,GmbH,ownership,5-Dec-22,,Quaker Oats Co.,,NA,,,,,,,100%,"$22,117 ","Rm. 125,226","$50,215 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
M. Rast & Sohn G.m.b.H.,,,GmbH,ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,41%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Rastatter Eisenhandel G.m.b.H.,,,GmbH,ownership,NA,,Hugo Stinnes Corporation,,"Eisenhof, G.m.b.H.",,,,,,,100%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Reece Machinery Company,,,GmbH,ownership,September 1930,,The International Button Hole Sewing Machine Company,,NA,,,,,,,100%,"$190,183 ","$1,165,996 ","$467,564 ",NA,NA,NA,,,0.0,"All of the property reported hereon is believed to have been seized by the German Governement, but no definite report to that effect has been received and consequently no reevaluation has been made on the reporting company's books or in their report.",,False,False,True,False
Remington Buromaschinen G.m.b.H.,,,GmbH,ownership,12-Oct-14,,Remington Rand Inc.,,NA,,,,,,,100%,"$611,304 ","Rm. 17,453","$6,999 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Richard Hudnut G.m.b.H.,,,GmbH,ownership,6-Dec-29,,Richard Hudnut,,NA,,,,,,,NA,"$9,797 ","Rm. 24,431","$9,797 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Ritter, A.G.",,,Corporation (Aktiengesellschaft),ownership,about 1912,,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",,NA,,,,,,,96%,"$1,380,164 ","$6,134,530 ","$2,459,946 ",NA,NA,NA,,,0.0,"The reporting company has no knowledge as to damage, destruction or seizure of the property underlying its investment; however, in accordance with section 127 of the I.R.C such property was deemed to have been destroyed or seized as of December 11, 1941, and its investment thereby made worthless. The account on the reporters books was adjusted as follows: 1940 Dr. Profit and loss, partial write off $481,000.00
1942 Capital surplus created through reduction in 606,823.51
stated value of common capital stock. Cr. Ritter, A.G. Investment $1,087,823.51",,False,False,True,False
"Rohr & Seilpost Anlagen, G.m.b.H.",,,GmbH,ownership,13-Feb-08,,International Telephone and Telegraph Corp.,,Mix & Genest Aktiengesellschaft,,,,,,,100%,"Rm. 82,000","Rm. 80,074","$32,110 ","Rm. 80,074","Rm. 80,074","$32,110 ",,,0.0,NA,,False,False,True,False
"Rosskai, G.m.b.H.",,,GmbH,ownership,8-Aug-32,,"United Statess Lines, Co.",,NA,,,,,,,100%,"$25,010 ","Rm. 24,970","$10,023 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Roth-Buchner, G.m.b.H.",,,GmbH,ownership,25-Sep-25,,Gillette Safety Rasor Company,,NA,,,,,,,100%,"$2,249,036 ","Rm. 20,170,809","$8,088,494 ",NA,NA,NA,,,0.0,"No information since August, 1941",,False,False,True,False
"Royal Schreihmaschinen, G.m.b.H.",,,GmbH,ownership,January 1930,,"Royal Typewriter Company, Inc.",,NA,,,,,,,NA,"$375,735 ","Rm. 1,033,033","$414,216 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Rudolf Arndt Dextrinfabrik G.m.b.H.,,,GmbH,ownership,27-Jan-31,,Corn Products Refining company,,Deutsche Maizena Werke A.G.,,,,,,,100%,"Rm. 100,000","Rm. 274,286","$109,989 ","Rm. 275,286","Rm. 275,286","$110,389 ",,,0.0,NA,,False,False,True,False
"""Rustica"" A.G. fuer Grunderwerb",,,Corporation (Aktiengesellschaft),ownership,NA,,United Continental Corporation,,Industrial Mining Development Co. Ltd. (London),,,,,,,NA,NA,NA,NA,NA,NA,NA,,,#VALUE!,"No official knowledge is available as to whether or not any of this property has been seized, damaged or destroyed so that statement with reference to the same can be made.",,False,False,True,False
Saatsuchwirtschaft C. Braune G.m.b.H.,,,GmbH,ownership,14-Mar-16,,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,67%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"H. & P. Sauermann, A.G.",,,Corporation (Aktiengesellschaft),ownership,1869,,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,44%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
R. Schiffman & Co. G.m.b.H.,,,GmbH,ownership,1931,,R. Schiffmann Co.,,NA,,,,,,,100%,"$26,000 ","Rm. 117,630","$41,170 ",NA,NA,NA,,,0.0,"Reporter has been unable to learn the present status of R. Sciffmann & Co. G.m.b.H., Berlin, Germany",,False,False,True,False
"Schlafhorst Chemische Werke, G.m.b.H.",,,GmbH,ownership,31-Oct-29,,The Atlantic Refining Company,,The Atlantic Refining Company Germany GmbH,,,,,,,87%,"Rm. 130,000","Rm. 357,848","$143,497 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
W. A. Scholten Starke und Syrupfabriken A.G.,,,Corporation (Aktiengesellschaft),ownership,1-Aug-06,,Corn Products Refining company,,Deutsche Maizena Werke A.G.,,,,,,,25%,"Rm. 46,507","Rm. 781,701","$313,462 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
W. A. Scholten Starke und Syrupfabriken A.G.,,,Corporation (Aktiengesellschaft),ownership,1-Aug-06,,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,69%,"Rm. 804,181","Rm. 2,137,200","$857,017 ","Rm. 1,278,372","Rm. 1,278,372","$512,627 ",,,0.0,NA,,False,False,True,False
Schriftgiesserei und Messinglinienfabrik D. Stempel Akt.,,,Corporation (Aktiengesellschaft),ownership,NA,,Mergenthaler Linotype Company,,"Mergenthaler Setzmaschinen-Fabrik (Berlin, Germany)",,,,,,,45%,"Rm. 1,371,000","Rm. 1,845,182","$739,906 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Schulke & Mayr A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,Lohn & Fink Products Corporation,,NA,,,,,,,100%,"$85,799 ","Rm. 622,292","$249,540 ",NA,NA,NA,,,0.0,See continuation sheet,,False,False,True,False
A.G. vormals Seidel and Neumann,,,Corporation (Aktiengesellschaft),ownership,"May 6, 1886",,Corn Products Refining company,,"Gesellschaft für Industriebeteiligungen m.b.H. formerly Deutsche Maizena Gesellschaft (216/218 Spaldingstrasse, Hamburg, Germany)",,,,,,,26%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"Siegfried-Caragen Gesellschaft fuer Kraftfahrzeuge, m.b.H.",,,GmbH,ownership,1926,,Eugene Dietzgen Co.,,"Bayerische Reisszeugfabrik, A.G.",,,,,,,100%,"Rm. 15,000","Rm. 60,169","$24,128 ",NA,NA,NA,,,0.0,Status of company unknown. No reports received since the state of hostilities between England and Germany 1939.,,False,False,True,False
Signal Gesellschaft m.b.H.,,,GmbH,ownership,NA,,Submarine Signal Co.,,NA,,,,,,,100%,$1 ,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
Signode System G.m.b.H.,,,GmbH,ownership,8-Dec-25,,Signode International Limited,,NA,,,,,,,98%,"$46,213 ","Rm. 310,937","$124,686 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Signode System G.m.b.H.,,,GmbH,ownership,8-Dec-25,,Signode Steel Strapping Co.,,NA,,,,,,,NA,$201 ,Rm. 501,$201 ,NA,NA,NA,,,0.0,NA,,False,False,True,False
Singer Nahmaschinen Aktiengesellschaft,,,Corporation (Aktiengesellschaft),ownership,"February 1, 1895",,International Securities Company,,NA,,,,,,,100%,"$4,812,000 ","$51,201,193 ","$20,531,679 ",NA,NA,NA,,,0.0,"The Singer Nahmaschinen Aktiengesellschaft is at present operating under an Administrator appointed by the German Governement. The extent of damage, is any, to properties of Singer Nahmaschinen Akt. In Germany is unknown. The values in Column 5 of Part C do not reflect any loss due to damage.",,False,False,True,False
L. C. Smith & Corona Schreihmaschinen G.m.b.H.,,,GmbH,ownership,29-Jun-29,,L. C. Smith & Corona Typewriters Inc.,,NA,,,,,,,100%,"$124,579 ","Rm. 149,773","$60,059 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Sela Automatic Camera,,,unknown,unknown,NA,,Remington Rand Inc.,,"Remington Buromaschinen, G.m.b.H.",,,,,,,NA,"Rm. 150,000",NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,False,True
Spirella Gesellschaft m.b.H.,,,GmbH,ownership,1930,,Spirella International Incorporated,,NA,,,,,,,60%,"$63,514 ","Rm. 79,777","$31,991 ",NA,NA,NA,,,0.0,NA,"Arrangements were made for the sale of the machinery, equipment & most of the inventories as of 13-31-28 but complete date as to the transaction were not received so that it is not possible to submit detailed statements.",False,False,True,False
Spirella Gesellschaft m.b.H.,,,GmbH,ownership,1930,,Spirella International Incorporated,,Korsettfabriken Spirella Aktiebolag (Sweden),,,,,,,33%,"Rm. 73,910",NA,"$17,581 ",NA,NA,NA,,,0.0,NA,"Arrangements were made for the sale of the machinery, equipment & most of the inventories as of 13-31-28 but complete date as to the transaction were not received so that it is not possible to submit detailed statements.",False,False,True,False
"Standard Elektrizitats Ges., A.G.",,,Corporation (Aktiengesellschaft),ownership,5-Feb-30,,International Standard Electric Corp.,,NA,,,,,,,NA,"$374,551 ","$374,551 ","$374,551 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Standard Elektrizitats Ges., A.G.",,,Corporation (Aktiengesellschaft),ownership,5-Feb-30,,International Telephone and Telegraph Corp.,,NA,,,,,,,100%,"$5,832,286 ","Rm. 6,596,059","$2,645,019 ",NA,NA,NA,,,0.0,NA,Balance Sheet 31/December/38-37.,False,False,True,False
Standard Zahnfabrik A.G.,,,Corporation (Aktiengesellschaft),ownership,1924,,The Dentists' Supply Co. of New York,,NA,,,,,,,95%,"$192,313 ","Rm. 1,121,518","$449,728 ",NA,NA,NA,,,0.0,"Property reported hereon is located in enemy territory: Investment shwon in Column 3 of Part C was entirely written off books of person reporting December 31,1941",,False,False,True,False
Stanley Works,,,GmbH,ownership,20-Feb-26,,"Foreign Investments, Incorporated",,NA,,,,,,,100%,"$362,619 ","Rm. 5,914,429","$2,371,686 ",NA,NA,NA,,,0.0,Entire plant believed seized by German Government upon declaration of war with United States.,,False,False,True,False
The Stanley Works G.m.b.H.,,,GmbH,ownership,20-Feb-26,,The Stanley Works,,NA,,,,,,,100%,"$244,523 ","Rm. 1,295,158","$519,358 ",NA,NA,NA,,,0.0,Entire plant believed seized by German Government upon declaration of war with United States.,,False,False,True,False
Steinberger Bros.,,,GmbH,unknown,NA,,"Aris Cloves Co., Inc.",,NA,,,,,,,"Partnership, Net proprietorship interest 100%","$412,242 ","Rm. 758,226","$304,048 ",NA,NA,NA,,,0.0,NA,,False,False,False,True
Steinberger Bros. Clove Corp. G.m.b.H.,,,GmbH,ownership,December 1927,,"Aris Cloves Co., Inc.",,NA,,,,,,,100%,"$11,905 ","Rm. 36,064","$14,462 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Steinway & Sons,,,Branch,branch,1889,,Steinway & Sons,,NA,,,,,,,NA,"$1,330,668 ","Rm. 5,384,418","$2,159,152 ",NA,NA,NA,,,0.0,"Have no knowledge since December 7, 1941",,False,True,False,False
Suddeutsche Apparatefabrik Gesellschaft m.b.H.,,,GmbH,ownership,4-Oct-29,,International Telephone and Telegraph Corp.,,Standard Elektizitats Gesellschaft A.G.,,,,,,,100%,"Rm. 341,116","Rm. 1,663,116","$666,909 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Suddeutsche Chemische Werke,,,GmbH,ownership,1909,,Stauffer Chemical Co.,,NA,,,,,,,100%,"$93,779 ","Rm. 463,895","$186,020 ",NA,NA,NA,,,0.0,"Property in Germany add considered seized - written off in following entries 
Dec. 31, 1941
Dr. Profit & Loss - $36,000 - Cr. Suddeutsche Chemische Werke - $36,000
Dec. 31, 1940
Dr. Profit & Loss - $57,779.72 - Cr. Suddeutsche Chemische Werke - $57,779.72",,False,False,True,False
Suedwest A.G.,,,Corporation (Aktiengesellschaft),ownership,NA,,"Hugo Stinnes Industries, Inc.",,"Hugo Stinnes G.m.b.H. (Muelheim-Ruhr, Germany)",,,,,,,45%,NA,NA,NA,NA,NA,NA,,,#VALUE!,NA,,False,False,True,False
"Swift & Company, G.m.b.H.",,,GmbH,ownership,NA,,Swift & Company,,"Swift & Co. Ltd. (Vienna, Austria)",,,,,,,9%,"Rm. 50,000","Rm. 91,562","$36,716 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
"Swift & Company, G.m.b.H.",,,GmbH,ownership,8-Dec-27,,Swift & Company,,NA,,,,,,,100%,"$343,712 ","Rm. 1,499,334","$601,233 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Tefag Radio Vertriebs G.m.b.H.,,,GmbH,ownership,NA,,International Telephone and Telegraph Corp.,,"C. Lorenz, A.G.",,,,,,,100%,"Rm. 50,000","Rm. 50,000","$20,050 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
Telephonfabrik Berliner A.G.,,,Corporation (Aktiengesellschaft),ownership,13-Feb-00,,International Telephone and Telegraph Corp.,,Standard Elektizitats Gesellschaft A.G.,,,,,,,99%,"Rm. 573,605","Rm. 1,125,894","$451,483 ","Rm. 1,668","Rm. 1,668",$668 ,,,0.0,NA,,False,False,True,False
Telmo Telephon und Telegraphen Gesellschaft m.b.H.,,,GmbH,ownership,15-Aug-21,,International Telephone and Telegraph Corp.,,Mix & Genest Aktiengesellschaft,,,,,,,100%,"Rm. 103,691","Rm. 102,096","$40,940 ","Rm. 64,055","Rm. 64,055","$25,686 ",,,0.0,NA,,False,False,True,False
Tietgens & Robertson (G.m.b.H.),,,GmbH,ownership,11-Nov-24,,Armour & Company,,NA,,,,,,,52%,"$29,672 ",0,$0 ,NA,NA,NA,,,#DIV/0!,NA,,False,False,True,False
Titangesellschaft m.b.H.,,,GmbH,ownership,1927,,"Titan Company, Inc.",,NA,,,,,,,50%,"$660,815 ","Rm. 4,433,393","$1,777,790 ",NA,NA,NA,,,0.0,NA,,False,False,True,False
