,Master US firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum,in HB 32,in HB 34,Name of Foreign Business,moodys32 affiliated German firm name,moodys32 notes,moodys32 mentions a subsidiary,moodys32 mentions stock ownership,moodys32 subsidiary is AG,moodys32 mentions an affilated company,moodys32 mentions a plant/office/branch,moodys32 is a subsidiary of a German firm,moodys32 other types of agreement,moodys34 affiliated German firm name,moodys34 reviewed_notes,moodys34 mentions a subsidiary,moodys34 mentions stock ownership,moodys34 subsidiary is AG,moodys34 mentions an affilated company,moodys34 mentions a plant/office/branch,moodys34 is a subsidiary of a German firm,moodys34 other types of agreement,tenenbaum affiliated German firm name,tenenbaum notes,tenenbaum mentions a subsidiary,tenenbaum mentions stock ownership,tenenbaum subsidiary is AG,tenenbaum mentions an affilated company,tenenbaum mentions a plant/office/branch,tenenbaum is a subsidiary of a German firm,tenenbaum other types of agreement,HB 1932 affiliated German firm name,HB 1934 affiliated German firm name
161,Pan Foreign Corporation,True,False,False,False,False,False,"['Busscher & Hoffman Aktiengesellschaft', 'Ebano Asphalt-Werke Aktiengesellschaft', 'Emas Gesellschaft Fuer Strassenbaubedarf, m.b.H.', 'Vereinigte Asphalt und Teerproducktenfabriken Gesellschaft mit Beschrankter Haftung']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Paramount Pictures, Inc.",True,True,True,False,True,True,['Paramount Film Aktiengesellschaft'],"Paramount Film Vertreib G. m. b. H., Berlin, Germany",,True,False,False,False,False,False,False,"Paramount Film Vertrieb G.m.b.H., Berlin, Germany","Under section ""Foreign Subsidiaries""",True,False,False,False,False,False,False,,,,,,,,,,['Paramount Film Aktiengesellsehaft'],['Paramount Film Aktiengesellschaft.']
163,Parker Pen Co.,False,True,True,False,False,False,,"Parker Pen Co., G.m.b.H., Berlin, Germany","""Also controls Parker Pen Co. (Del.), Parker Pen Co, G.m.b.H, Berlin, Germany, and Parker Pen Co, Ltd. (Eng.), with sales office in London. Direct branches and distributing connections in all principal cities of the world. On Dec. 28, 1929, The Parker Pen Co. disposed of Its approximately 80% stock interest in Parker, A. G, which operated a manufacturing plant in Dossenheim, Heidelberg, Germany, and in Feb, 1930, started a 100% Parker controlled company called Parker Pen, G.m.b.H, at Berlin, Germany, which company operates a sales and service office, and carries a wholesale stock of merchandise which is distributed through a sales force to dealers in Germany, In Feb., 1929, jointly with the Wahl Co, and W. A. Sheaffer Pen Co. organised a jointly owned independent company under the name of Pen Desk Set Co. to which each of the above companies was to assign their patents covering desk sets, fountain pens and holders. In May, 1931, company put out a new product ""Quink”—a quick drying ink. Number of employees, Dec. 31, 1931, about 1,260.""",False,False,False,False,False,False,False,Parker A. G.,"On Dec. 28, 1929, The Parker Pen Co. disposed of its approximately 80% stock interest in Parker, A. G., which operated a manufacturing plant in Dossenheim, Heidelberg, Germany.",False,False,False,False,False,False,False,,,,,,,,,,,
164,"Peat, Marwick, Mitchell & Co. (General Partnership)",True,False,False,False,False,False,"['Peat, Marwick, Mitchell & Co. (Berlin Partnership)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"Pembroke Chemical Co., Florida",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Metallgesellschaft A.G.,"The METALLGESELLSCHAFT A. G. owns the following American companies: Ore Chemical Corporation New York capital 200,000 engaged trade ores and metals and acting holding company; Pembroke Chemical Co. Florida phosphorus and phosphates producing concern; Revertex Corporation America New York capital 100,000 established for the sale of latex concentrates in North America",False,False,False,False,False,True,False,,
166,Penton Publishing Co.,False,True,True,False,False,False,,NA,"""Maintains offices in Cleveland, New York, Pittsburgh, Chicago, Cincinnati. Washington; London and Birmingham, Eng.; Paris, France; and Berlin, Germany. """,False,False,False,False,True,False,False,NA,"The company owns property in Cleveland and maintains offices in various US cities, London, Birmingham, Paris, and Berlin, Germany. ",False,False,False,False,True,False,False,,,,,,,,,,,
167,"Philip Morris & Co. Ltd., Inc.",True,False,False,False,False,False,['Philip Morris & Co. Limited G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Pitney-Bowes Postage Meter Co.,False,False,True,False,False,False,,,,,,,,,,,Francotype-Gesellschaft of Berlin,"""During 1930 entered into an agreement with the Francotype-Gesellschaft of Berlin for the exchange of patents of mechanical and technical development affecting the various kinds of postage metering, parcel post and special machines designed for taxing purposes.""",False,False,False,False,False,False,True,,,,,,,,,,,
169,Pown Corporation,True,False,False,False,False,False,['Kodak Aktiengesellschaft'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Price, Waterhouse & Co.",True,False,False,False,False,False,"['Price, Waterhouse & Co.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Pueping (Fred) Leather Co.,False,True,False,False,False,False,,NA,"Branch offices at Boston, New York, Chicago, Milwaukee, St Louis, Cincinnati, San Francisco, Montreal, Northampton (Eng.) and Frankfurt Germany.",False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,
172,Pure Oil Co.,True,False,False,True,False,False,['Oelwerke Julius Schindler G.m.b.H.'],,,,,,,,,,,,,,,,,,,Oelwerke Julius Schindler G.m.b.H.,"The PURE OIL CO . OF OHIO owns 49 % of the Oelwerke Julius Schindler G.m.b.H. , capital 2,400,000 RM .",True,False,False,False,False,False,False,,
173,Pyrene Minimax Corporation,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Minimax A. G.,"The MINIMAX A. G. owns jointly with the PYRENE Mfg . Co. , Newark , the Pyrene Minimax Corporation , capital $ 100,000 , set up mainly for the cooperative exploitation of patents relating mainly to fire extinguishers.",False,False,False,False,False,True,False,,
174,Quaker Oats Co.,True,True,True,False,False,False,"['Quaker Nahrmittel, G.m.b.H.', 'Quaker Oats Co. G.m.b.H.']",NA,"""Mills are located at Akron, Ohio: Cedar Bapids, la.; St. Joseph, Mo.; Memphis, Tenn.; Depew, N. Y.; Tecumseh, Mich.; Peterborough, Ont.; Saskatoon, Baric., and Eisen, Germany, manufacturing various cereal food products, the best known bring ""Quaker Oats.""",False,False,False,False,True,False,False,NA,"It operates mills in various locations including Essen, Germany. ",False,False,False,False,True,False,False,,,,,,,,,,,
175,R. Schiffmann Co.,True,False,False,False,False,False,['R. Schiffman & Co. G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Radio Corporation of America,False,True,True,False,False,False,,NA,"""On Dec. 31, 1931, R.C.A. Communications, Inc. operated the following international and domestic radio circuits.... Germany."" ",False,False,False,False,True,False,True,NA,"Mentions Germany for ""R. C. A. Communications, Inc., a subsidiary, operates international radiotelegraph services in conjunction with Amalgamated Wireless (Australasia) Ltd... the Governments Norway, Germany, Poland, ....""",False,False,False,False,False,False,False,,,,,,,,,,,
177,Radio Corporation of America,False,True,True,False,False,False,,NA,"""On Dec. 31, 1931, R.C.A. Communications, Inc. operated the following international and domestic radio circuits.... Germany."" ",False,False,False,False,True,False,True,NA,"Germany is a country listed under Principal subsidiary and affiliated companies ""Transatlantic"" section",True,False,False,False,False,False,False,,,,,,,,,,,
178,Radio-Keith-Orpheum Corporation (Controlled by Radio Corp. of America),False,True,True,False,False,False,,"AEG, Siemens and Halske, and Tobis Klangfilm","""Agreement for Exchange of patent rights: with AEG, Siemens and Halske, and Tobis Klangfilm""",False,False,False,False,False,False,False,"A. E. G. group, Siemens & Halske A. G., and Tobis Klangfilm Co. R. C. A. Photophones","Agreement for Exchange of Patent Rights: The companies involved in the negotiations include for Germanym the A. E. G. group, Siemens & Halske A. G., and Tobis Klangfilm Co. R. C. A. Photophones and numerous picture-producing companies, including Universal, United Artists, Metro-Goldwyn, Patho Exchange, Paramount, Columbia, Tiffany-Stahl, and Radio-Keith-Orpheum.",False,False,False,False,False,False,True,,,,,,,,,,,
179,Remington Rand Inc.,True,True,True,True,True,False,"['Jahresuhren Fabrik G.m.b.H.', 'Kardex A.G.', 'Kardex A.G.', 'Kardex System G.m.b.H.', 'Powers G.m.b.H.', 'Remington Buromaschinen G.m.b.H.', 'Sela Automatic Camera', 'Torpedo-Werke A.G.', 'Torpedo-Werke A.G.']",Torpedo,"Incorporated in Delaware on January 25, 1927. The company manufactures noiseless, portable and electric typewriting and bookkeeping machines, steel and wood filing equipment, office furniture, indexing systems, safe files and safe cabinets, loose-leaf ledgers, accounting devices and supplies, and computing and adding machines. It owns or controls plants in New York, Connecticut, Massachusetts, Ohio, Michigan, Georgia, California, England, Canada, France, and Germany. Products are distributed through branch offices and dealers in the United States and foreign countries. In April 1932, the company acquired a financial interest in a contract with Wellwerke, a German company, making certain products and patents available in Frankfurt, Germany under the trade name ""Torpedo"". As of May 1, 1931, the company had 16,938 employees.",True,False,False,False,True,False,False,Torpedo,"""In Apr., 1932, company acquired a financial interest in and consummated a reciprocal technical contract with Weilwereke, a German company, under which certain products and patents of each became available to the other. Weilwerke makes standard and portable typewriters and accounting machines in Frankfurt, Germany, under the trade name of 'Torpedo'.""",False,False,False,False,False,False,True,Remington Schreibmaschinen G.m.b.H.,"REMINGTON RAND INC. owns the Remington Schreibmaschinen G.m.b.H. , capital 1,240,000 RM . , with plants at Saarbrücken , Berlin , and Prague .",True,False,False,False,False,False,False,"['Torpedo-Fahrräder u. Schreibmaschinen, Weilwerke A.-G.']",
180,"Revertex Corporation of America, New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Metallgesellschaft A.G.,"The METALLGESELLSCHAFT A. G. owns the following American companies: Ore Chemical Corporation New York capital 200,000 engaged trade ores and metals and acting holding company; Pembroke Chemical Co. Florida phosphorus and phosphates producing concern; Revertex Corporation America New York capital 100,000 established for the sale of latex concentrates in North America",False,False,False,False,False,True,False,,
181,Richard Hudnut,True,False,False,True,False,False,"['Lohse, Gustave A.G.', 'Richard Hudnut G.m.b.H.']",,,,,,,,,,,,,,,,,,,"""Dom"" Finanz A. G. für chemische Unternehmenungen; Goedecke & Co.; Gustav Lohse A. G.; Richard Hudnut G.m.b.H.",,True,True,True,False,False,False,False,,
182,"Ridel-de Haën, Inc., New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,The J. D. Ridel-de Haen A.G.,"The J. D. RIDEL DE HAEN A. G. owns 99.5 % of an American distributing and manufacturing agent for its pharmaceutical and chemical products, Ridel -de Haën, Inc., New York (capital , $45,000 ) .",False,False,False,False,False,True,False,,
183,"Ritter Company, Inc. (Formerly Ritter Dental Mfg. Co., Inc)",True,True,True,True,True,True,"['Ritter, A.G.']","Ritter, A.G.","Owns 96% of capital stock of Ritter, A. G., which owns two plants in Baden, Germany",True,False,True,False,True,False,False,"Ritter, A. G.","Owns 96% of capital stock of Ritter, A.G., which owns two plants in Baden, Germany...",True,False,False,False,True,False,False,Ritter A.G.,"The RITTER DENTAL MFG . CO . , INC . owns 95% of the Ritter A.G., capital 3,925,000 RM .",False,False,True,False,False,False,False,['Ritter Aktiengesellschaft'],['Ritter Aktiengesellschaft.']
184,"Robert Reiner, Incorporated",True,False,False,False,False,False,['Maschinenfabril EINSIEDEL G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Robert W. Hunt Company,True,False,False,False,False,False,['Robert W. Hunt Company'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Rossia International Corporation,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Iduna Holding Aktiengesellschatt'],['Iduna Holding Aktiengesellschaft.']
187,Royal Baking Powder Company,False,True,True,False,False,False,,"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.","Company controls through 100% ownership, Wright, Crossley & Co., Ltd. (and its subsidiary Aintree Co., Ltd.), Liverpool, Eng.; Alliance Food Product, Ltd., London, Eng.; Royal Baking Powder (Proprietory), Ltd., Cape Town, South Africa, and Deutsche Royal Backputver, Gesellachaft m.b.H., Berlin. Germany.",True,False,False,False,False,False,False,NA,"in the Balance Sheet: ""Includes... German and South African subsidiaries of Royal Baking Powder Co.""",True,False,False,False,False,False,False,,,,,,,,,,,
188,Royal Baking Powder Company,False,True,True,False,False,False,,"Deutsche Royal Backpulver, Gesellschaft m.b.H, Berlin, Germany.","Company controls through 100% ownership, Wright, Crossley & Co., Ltd. (and its subsidiary Aintree Co., Ltd.), Liverpool, Eng.; Alliance Food Product, Ltd., London, Eng.; Royal Baking Powder (Proprietory), Ltd., Cape Town, South Africa, and Deutsche Royal Backputver, Gesellachaft m.b.H., Berlin. Germany.",True,False,False,False,False,False,False,"Deutsche Royal Backpulver, Gesellschaft m.b.H., Berlin, Germany","In description: Company controls through 100% ownership, ....and Deutsche Royal Backpulver, Gesellschaft m. b. H., Berlin, Germany.",True,False,False,False,False,False,False,,,,,,,,,,,
189,"Royal Typewriter Company, Inc.",True,True,True,True,False,False,"['Orga Akt. Ges.', 'Royal Schreihmaschinen, G.m.b.H.']","Royal Schreibmaschinen G. m. b. H., of Berlin","""Company has selling agencies In all large cities of the U. S.; also has a Canadian branch. Product is sold ... in Germany through the Royal Schreibmaschinen G. m. b. H., of Berlin...""",False,False,False,True,True,False,False,"Royal Schreibmaschinen G. m. b. H., of Berlin","Product is sold... in Germany through the Royal Schreibmaschinen G. m. b. H., of Berlin",False,False,False,True,True,False,False,Royal Schreibmaschinen G.m.b.H.,"The Royal Typewriter Co. Inc., New York owns the Royal Schreibmaschinen G.m.b.H. , a sales organization covering Germany .",True,False,False,False,False,False,False,,
190,S O. Realizatio Co. Inc.,False,False,True,False,False,False,,,,,,,,,,,NA,"Not sure if Hamburg is in Germany. Branches located in Chicago, Hamburg and Wellington (New Zealand). London and Hamburg branches operated subsidiaries.",True,False,False,False,True,False,False,,,,,,,,,,,
191,Schilling Estate Company,True,False,False,False,False,False,['Holzwarth Gasturbinen'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Schoonmaker-Scott Company,True,False,False,False,False,False,"['Butler Brothers, G.m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Seabrook International Engineering Corp.,False,False,True,False,False,False,,,,,,,,,,,NA,"Plant located at Bridgeton, N. J., and branch offices or agencies at New York, Philadeliphia, London, Paris, Montreal, Berlin, Budapest and Havana.",False,False,False,False,True,False,False,,,,,,,,,,,
194,Seiberling Rubber Co.,False,True,False,False,False,False,,"Fulda Rubber Co. of Fulda, Germany","""Has working agreement with Fulda Rubber Co. of Fulda, Germany...""",False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,
195,"Servel, Inc.",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Elektrolux A.G. ,"SERVEL INC Owns Germany the Elektrolux A. G., capital 2,750,000 RM engaged in the manufacture refrigerators and similar equipment",True,False,True,False,False,False,False,,
196,"Siemens Inc., New York",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Siemens & Halske,"SIEMENS & HALSKE own 100 % Siemens Inc. , New York . With Vickers , Siemens & Halske own the Metal and Thermit Corp. , which has a world monopoly on beryllium .",False,False,False,False,False,True,False,,
197,Signode International Limited,True,False,False,False,False,False,['Signode System G.m.b.H.'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Signode Steel Strapping Co.,True,True,True,False,False,False,['Signode System G.m.b.H.'],NA,"Has subsidiaries in Belgium, Canada, England, Italy, Germany and Holland. Products are mar trade name ""Signode"". ",True,False,False,False,False,False,False,NA,"In description: ""Has subsidiaries in Belgium, Canada, England, Italy, Germany and Holland.""",True,False,False,False,False,False,False,,,,,,,,,,,
199,Silesian-American Corporation,False,True,True,True,False,False,,Bergwerkgesellschaft Georg von Giesche's Erben,"Security — A joint mortgage on nine mines, mining properties and lands including buildings, concentrator, plants, etc., located in Upper Silesia, Germany subject to certain charges under the Dawes Plan and also small mining royalties.",True,False,False,False,False,False,False,Georg von Giesche's Heirs Mining Co. (Bergwerksgesellschaft Georg von Giesche's Erben),"incorporated in Delaware on July 7, 1926, to acquire from Georg von Giesche's Heirs Mining Co. (Bergwerksgesellschaft Georg von Giesche's Erben), a German corporation, all of the capital stock of the Giesche Co. (Giesche Spolka Akcyjna), a Polish corporation, along with the German company's $6,000,000 sinking fund mortgage bonds. ",True,False,False,False,False,False,False,,"W. A. HARRIMAN & Co., New York and the Anaconda Copper Co. own the Silesian Holding Co., which possesses 51% of the Silesian American Corporation , the other 49 % being held by the German Bergwerkgesellschaft Georg von Giesches Erben . The Silesian American Corporation owns 100% the Giesches Spolka Akcyjna, Polish Silesia , capital 172,000,000 zloty .",False,False,False,False,False,False,False,,
200,Singer Mfg. Co.,True,False,False,True,False,False,['Singer Nahmaschinen Aktiengesellschaft'],,,,,,,,,,,,,,,,,,,Singer Nähmaschinen A.G.,"The SINGER MFG . Co. owns the Singer Nähmaschinen A. G. , capital 12,000,000 RM,, on whose Board of Directors sits Douglas Alexander, President of the American parent company.",True,False,True,False,False,False,False,,
201,"Socony-Vacuum Oil Company, Inc.",True,False,False,True,True,False,"['Deutsche Vacuum Oel A.G.', 'Erdolbergbau A.G., Celle', 'Gewerkschaft Alfred', 'Gewerkschaft Ave 5', 'Gewerkschaft Carlsburg III', 'Gewerkschaft Konberg II', 'Gewerkschaft Ostfeld 1', 'Intava Arbeitsgemeinschaft Der Deutsche-Amerikanischen Petroleum-Gesellschaft Und Der Deutschen Vacuum Oil - Aktiengesellschaft Fur Entwicklung Und Vertrieb Von Luftfahrt-Kraft- Und Schmierstoffen', 'Petrolifer Rohoelcompagnie A.G.', 'West-Oel Fesellschaft m.b.H.']",,,,,,,,,,,,,,,,,,,"Deutsche Vacuum Oel A. G.; The Vacuum Oil Co S. P., Prague; Naftaspol A. S., Czechoslovakia .","The SOCONY -VACUUM OIL Co. , part of the Standard Oil group , owns the following in Germany : Deutsche Vacuum Oel A. G. , capital 20,000,000 RM .The Vacuum Oil Co S. P., Prague and the Naftaspol A. S., Czechoslovakia .",True,False,True,False,False,False,False,['Deutsche Vacuum Oel Akt.-Ges.'],
202,Spirella International Incorporated,True,False,False,False,False,False,"['Spirella Gesellschaft m.b.H.', 'Spirella Gesellschaft m.b.H.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,St. Andrews Bay Lumber Co.,False,False,True,False,False,False,,,,,,,,,,,NA,was incorporated in May 1919 to operate property formerly owned by the German-American Lumber Co.,False,False,False,False,False,False,False,,,,,,,,,,,
204,St. Regis Paper Co.,True,False,False,False,False,False,['Bates Maschinen GmbH'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"Standard Brand, Inc.",False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,Deutsche (Royal ) Backpulver G.m.b.H. ,"STANDARD BRANDS , INC . owns in Germany the Deutsche (Royal ) Backpulver G.m.b.H. , capital 300,000 RM .",False,False,False,False,False,False,False,,
206,"Standard Commercial Tobacco Co., Inc.",True,True,False,False,False,False,['Werkhof G.m.b.H.'],German-American Tobacco Co.,"""During 1929, acquired a cigarette factory in Germany."" ""On May 20, 1931 German-American Tobacco Co., was incorporated in Delaware by Ery Kabaya, president of Standard Commercial Tobacco Co. and associates to engage in the manufacture of American type cigarettes in Germany. Capital consists of $10,000,00 of preferred stock, and 3,000,000 no par common shares. It is expected that the company will take  over the Werkhof Cigarette factory at Bremen, which is now owned by Standard Commercial Tobacco Co.""",False,False,False,True,True,False,True,,,,,,,,,,,,,,,,,,,,
207,Standard I.G.,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,,
208,Standard Oil Company (Indiana),False,True,False,False,False,False,,NA,"Manufacturing: The Standard Oil Co. (Ind.) group operates refineries at 13 points in the United States and three abroad having a total crude oil through-put capacity of 353,000 barrels a day. Crude oil run by these plants in 1931 totalled 93,178,261 barrels of 42 gallons each as compared with 99,313,851 barrels in 1930. The 1930 statistics include tor the first time runs of Pan American’s refinery at Aruba, D. W. L, and a full year’s operation of that company's asphalt manufacturing plant at Hamburg, Germany.",False,False,False,False,True,False,False,,,,,,,,,,,,,,,,,,,,
209,Standard Oil Company (New Jersey),True,True,True,True,True,True,"['Allgemeine Oel-Handels-Gesellschaft mit beschrankter Haftung', 'Deutsch-Amerikanische Petroleum-Gesellschaft', 'Deutsch-Amerikanische Petroleum-Gesellschaft', 'Deutsche Gasolin Aktiengesellschaft', 'Deutsche Landerbank Aktiengesellschaft', '""Gluckauf"" Deutsche Oel Gesellschaft Hersfeld & Co., G.m.b.H.', 'Intava Arbeitsgemeinschaft Der Deutsche-Amerikanischen Petroleum-Gesellschaft Und Der Deutschen Vacuum Oil - Aktiengesellschaft Fur Entwicklung Und Vertrieb Von Luftfahrt-Kraft- Und Schmierstoffen', 'Mineraloel-Raffinerie vorm. August Korff', 'Norddeustche Mineraloelwerke Stettin G.m.b.H.', 'Privatanschlussbahn Borgsdorf-Birkenwerder G.m.b.H.', 'Waried Tankschiff Rhederei G.m.b.H.', 'Waried Tankschiff Rhederei G.m.b.H.', 'Titan-Oel-Gesellschaft m.b.H.']",Deutsch Amerikanische Petroleum Ges. (Germany),,True,False,True,False,False,False,False,Deutsch Amerikanische Petroleum Ges. (Germany),Under section Subsidiaries,True,False,False,False,False,False,False,Deutsch-Amerikanische Petroleum Gesellschaft; Mineralöl Raffinerie vorm . August Korf A.G.; Deutsche Gasolin A.G.,"The STANDARD OIL CO . OF NEW JERSEY Owns 84.2 % of the Deutsch-Amerikanische Petroleum Gesellschaft. 15.8 % of the stock of the German concern is held by the N. V. American Petroleum Co., Holland , whose stock is held 66.04 % by Standard Oil . Standard Oil thus has a 95 % control of the Deutsch - Amerikanische Petroleum Gesellschaft , whose capital is nominally 63,200,000 RM . The German firm owns an Austrian subsidiary , the Vacuum Oil Co. A.G. , capital 10,000,000 Schillings .; Standard Oil of New Jersey owns a majority of the Mineralöl Raffinerie vorm . August Korf A.G. ( 1,500,000 RM ) and 25 % of the Deutsche Gasolin A.G. ( 11,000,000 RM ) , in which firm it is associated with I. G. Farbenindustrie and Royal Dutch Shell .",True,False,True,False,False,False,False,"['Deutsch-Amerikanische Petroleum-Ges.', 'Mineraloel-Raffinerie vorm. August Korff']","['Mineraloel-Raffinerie vorm. August Korff.', 'Deutsch-Amerikanische Petroleum-Gesellschaft.']"
210,Standard Oil Company (New Jersey),True,True,True,True,True,True,"['Allgemeine Oel-Handels-Gesellschaft mit beschrankter Haftung', 'Deutsch-Amerikanische Petroleum-Gesellschaft', 'Deutsch-Amerikanische Petroleum-Gesellschaft', 'Deutsche Gasolin Aktiengesellschaft', 'Deutsche Landerbank Aktiengesellschaft', '""Gluckauf"" Deutsche Oel Gesellschaft Hersfeld & Co., G.m.b.H.', 'Intava Arbeitsgemeinschaft Der Deutsche-Amerikanischen Petroleum-Gesellschaft Und Der Deutschen Vacuum Oil - Aktiengesellschaft Fur Entwicklung Und Vertrieb Von Luftfahrt-Kraft- Und Schmierstoffen', 'Mineraloel-Raffinerie vorm. August Korff', 'Norddeustche Mineraloelwerke Stettin G.m.b.H.', 'Privatanschlussbahn Borgsdorf-Birkenwerder G.m.b.H.', 'Waried Tankschiff Rhederei G.m.b.H.', 'Waried Tankschiff Rhederei G.m.b.H.', 'Titan-Oel-Gesellschaft m.b.H.']",Deutsch Amerikanische Petroleum Ges. (Germany),,True,False,True,False,False,False,False,-,Standard I. G. Co.; International Hydrogenation Patents Co.,False,False,False,False,False,False,True,Deutsch-Amerikanische Petroleum Gesellschaft; Mineralöl Raffinerie vorm . August Korf A.G.; Deutsche Gasolin A.G.,"The STANDARD OIL CO . OF NEW JERSEY Owns 84.2 % of the Deutsch-Amerikanische Petroleum Gesellschaft. 15.8 % of the stock of the German concern is held by the N. V. American Petroleum Co., Holland , whose stock is held 66.04 % by Standard Oil . Standard Oil thus has a 95 % control of the Deutsch - Amerikanische Petroleum Gesellschaft , whose capital is nominally 63,200,000 RM . The German firm owns an Austrian subsidiary , the Vacuum Oil Co. A.G. , capital 10,000,000 Schillings .; Standard Oil of New Jersey owns a majority of the Mineralöl Raffinerie vorm . August Korf A.G. ( 1,500,000 RM ) and 25 % of the Deutsche Gasolin A.G. ( 11,000,000 RM ) , in which firm it is associated with I. G. Farbenindustrie and Royal Dutch Shell .",True,False,True,False,False,False,False,"['Deutsch-Amerikanische Petroleum-Ges.', 'Mineraloel-Raffinerie vorm. August Korff']","['Mineraloel-Raffinerie vorm. August Korff.', 'Deutsch-Amerikanische Petroleum-Gesellschaft.']"
