German subsidiary,US Company,link_type,org_type,US firm (as in book),Affiliated German firm (as in book),Vol,Description
,American Ship & Commerce Corp.,Others,Others,AMERICAN SHIP & COMMERCE CORPORATION,,"Vol 1, p. 2945","Incorporated July 18, 1919, under the laws of Delaware, to acquire control of Wm. Cramp & Sons Ship & Engine Building Co. and Baltimore-Atlantic Steamship Co., Inc. (latter dissolved in 1928), and to invest in other companies, engaged principally in steamship, shipbuilding, importing, exporting and allied industries, and to engage in commerce and industry. Stockholders voted July 23, 1926, to sell United American Lines Resolute, Reliance and Cleveland, and affiliated shipping corporations, to Hamburg-American Line. In 1927 company's principal assets as of April 30, 1934, consisted of 61.59% (98,546 shares) of the capital stock and $1,953,800 principal amount of general 6s, due June 1, 1930, of William Cramp & Sons Ship & Engine Building Co.; 87.62% (131,427 shares) of the capital stock of Cramp-Morris Industrials, Inc. (see appended statements), and 85,096 shares (or 100 Mks.) of Hamburg-American Line. Capital Stock: Authorized, 400,000 shares (reduced from 1,500,000 shares in May, 1933); outstanding, 591,271 shares; no par. No dividends reported."
Hamburg-Amerikanische Mineralol-G.m.b.H.,Tide Water Associated Oil Co.,USO,GmbH,TIDE WATER OIL COMPANY,"Hamburg-Amerikanische Mineralol-Gesellschaft, M.B.H.","Vol 1, p. 2986","Incorporated in New Jersey, Nov. 10, 1888. Engaged directly and through subsidiaries in producing, refining, manufacturing, transporting and marketing petroleum and its products. As of Dec. 31, 1938, Tide Water Oil Co. and subsidiaries owned and leased 50,614 acres of producing and 89,770 acres of non-producing lands in various states. Net crude oil production was 10,976,600 barrels. The company operates two refineries at Bayonne, N.J. and Drumright, Okla., with a daily average crude oil capacity of 74,400 barrels. It also owns extensive pipe lines, tank cars, and other transportation equipment. Controlled by Tide Water Associated Oil Co., which owned 98.79% of its common stock as of Dec. 31, 1938."
"Metallwaaren Gesellschaft m. b. H., of Aachen",The Torrington Company,USO,GmbH,The Torrington Company (of Connecticut),"Metallwaaren Gesellschaft m.b.H., of Aachen, Germany","Vol 1, p. 2989","The Torrington Company (of Connecticut) was incorporated on May 26, 1917, and on July 2, 1917, acquired all assets and liabilities of The Torrington Company (of Maine), which was incorporated in 1898. The firm manufactures sewing machine and knitting machine needles, wire vehicle spokes, nipples, pedals, and high-grade small ball bearings, with factories in the USA, Canada, England, and Germany. Key plants include Excelsior Needle Co. and Standard Co. (Torrington), Tilley-Pratt Co., Ltd. (Coventry, Eng.), The Metallwaren Gesellschaft G. m. b. H. (Aachen, Germany), and The Torrington Co. Ltd. (Upper Bedford, Quebec, Canada). The Standard Co. previously owned the Eagle Company of New Jersey, which was later dissolved, with its plants now part of The Torrington Co. Standard Plant. Financial notes indicate accounts certified by Park, Stevens & Co. to 1922, foreign company assets/profits converted at current exchange rates in 1923 and 1922, and a market value of $4,976,750 in 1922 and 1923."
Adam Opel Aktiengesellschaft,General Motors Corporation (Overseas Operations),USO,AG,GENERAL MOTORS CORPORATION,Adam Opel A.G.,"Vol 1, p. 3004","Incorporated Oct. 13, 1916, under the laws of Delaware. The company manufactures, buys, sells, and deals in automobiles, cars, boats, and flying machines, and conducts a general automobile business. It also acquires patents and securities of other corporations. In March 1934, passenger models ranged from $465 to $2,950. General Motors Corp. operates as both an operating concern for its manufacturing divisions and a holding company for other affiliated companies."
Allgemeine Finanzierungs Gesellschaft m.b.H.,General Motors Acceptance Corporation,USO,GmbH,GENERAL MOTORS ACCEPTANCE CORPORATION,Continental Allgemeine Finanzierungs-Gesellschaft m. b. H.,"Vol 1, p. 3011","The consolidated statements include General Motors Acceptance Corp. (N. Y.), General Motors Acceptance Corp. of Indiana, General Motors Acceptance Corp. de Mexico, S. A., General Motors Acceptance Corp. of South America, General Motors Acceptance Corp. Continental, and Allgemeine Finanzierungs-Gesellschaft m. b. H."
,Radio Corporation of America,Others,Others,RADIO CORPORATION OF AMERICA,,"Vol 1, p. 3017","Incorporated Oct. 17, 1919, acquiring Marconi Wireless Telegraph Co. of America's property and patents. Formed by General Electric Co. to acquire foreign control of Marconi Co. and rights to GE, Westinghouse, and AT&T devices. Acquired Independent Wireless Telegraph Co. in 1927. Major acquisitions/interests (1928-1933) include substantial interest in Radio-Keith-Orpheum Corp. (R-K-O), control of Victor Talking Machine Co. and Cuba Transatlantic Radio Corp., and assets of De Forest Radio Co. and Jenkins Television Corp. Business activities include wireless communication, radio broadcasting, sale of radio apparatus, motion picture apparatus development, and patent licensing. Key subsidiaries include R. C. A. Communications, Inc. (operating international radiotelegraph services with various partners, including 'German radio interests' in consortium companies) and National Broadcasting Co., Inc., RCA Victor Co., Inc., and RCA Photophone, Inc. (of which RCA became sole owner). As of Jan. 1, 1933, RCA acquired radio manufacturing rights and facilities from General Electric Co. and Westinghouse Electric & Manufacturing Co., gaining exclusive patent licenses, reducing transmission costs, and cancelling royalty liabilities."
,Radio Corporation of America,USO,Others,Radio Corp. of America,,"Vol 1, p. 3019","Radio Corp. of America is the parent company, owning subsidiaries such as R.C.A. Radiotron Co., Inc., R.C.A. Communications, Inc., and Radiomarine Corp. of America. It also has interests in National Broadcasting Co. and Radio Real Estate Corp. of America. Note (1): Earnings prior to 1928 do not include Victor Talking Machine Co., control of which was acquired in Feb., 1929. Note (2): According to the auditors' certificate consolidated operations of Radio-Keith-Orpheum Corp. for the year 1933 will show a loss of $2,341,714 as compared with a loss of $10,695,503 in 1932; the auditing of the consolidated operations of the Radio Corp. was limited."
Allgemeine Elektricitäts-Gesellschaft,Radio-Keith-Orpheum Corporation (Controlled by Radio Corp. of America),USC,AG,RADIO-KEITH-ORPHEUM CORPORATION,A. E. G. group,"Vol 1, p. 3022","Incorporated in Maryland, Oct. 25, 1928 as a holding company. Engaged in theatrical operations, film production, distribution, and broadcasting. Controls Keith-Albee-Orpheum Corp. and RKO Radio Pictures, Inc. Acquired Pantages Vaudeville Circuit (1929), F. F. Proctor chain (1929), and Libson-Heidingfeld-Harries chain (1930). Formed subsidiaries Radio-Keith-Orpheum (Canada), Ltd. and Radio-Keith-Orpheum San Francisco Co. (1929). Purchased major part of Pathé Exchange, Inc.'s production and distribution business (1931), acquiring Pathé Picture, Inc., RKO Pathé Export Corp., RKO Pathé Studios, Ltd., and Pathé News, Inc. Formed Trans Lux Movie Corp. (1930) with Trans-Lux Daylight Picture Screen Corp. Entered a five-year franchise with Fox Film Corp. (1931) for Fox product in RKO theatres. Signed a patent exchange agreement (1930) with German and American film and electrical industries, including German companies A. G. group, Siemens & Halske A. G., and Tobis Klangfilm Co., for world territory division and licensing. Entered receivership on Jan. 27, 1933, with Irving Trust Co. appointed receiver."
"Siemens & Halske, A.G.",Radio-Keith-Orpheum Corporation (Controlled by Radio Corp. of America),USC,AG,RADIO-KEITH-ORPHEUM CORPORATION,Siemens & Halske A. G.,"Vol 1, p. 3022","Incorporated in Maryland, Oct. 25, 1928 as a holding company. Engaged in theatrical operations, film production, distribution, and broadcasting. Controls Keith-Albee-Orpheum Corp. and RKO Radio Pictures, Inc. Acquired Pantages Vaudeville Circuit (1929), F. F. Proctor chain (1929), and Libson-Heidingfeld-Harries chain (1930). Formed subsidiaries Radio-Keith-Orpheum (Canada), Ltd. and Radio-Keith-Orpheum San Francisco Co. (1929). Purchased major part of Pathé Exchange, Inc.'s production and distribution business (1931), acquiring Pathé Picture, Inc., RKO Pathé Export Corp., RKO Pathé Studios, Ltd., and Pathé News, Inc. Formed Trans Lux Movie Corp. (1930) with Trans-Lux Daylight Picture Screen Corp. Entered a five-year franchise with Fox Film Corp. (1931) for Fox product in RKO theatres. Signed a patent exchange agreement (1930) with German and American film and electrical industries, including German companies A. G. group, Siemens & Halske A. G., and Tobis Klangfilm Co., for world territory division and licensing. Entered receivership on Jan. 27, 1933, with Irving Trust Co. appointed receiver."
Tobis Klangfilm Co.,Radio-Keith-Orpheum Corporation (Controlled by Radio Corp. of America),USC,Others,RADIO-KEITH-ORPHEUM CORPORATION,Tobis Klangfilm Co. R. C. A. Photophones,"Vol 1, p. 3022","Incorporated in Maryland, Oct. 25, 1928 as a holding company. Engaged in theatrical operations, film production, distribution, and broadcasting. Controls Keith-Albee-Orpheum Corp. and RKO Radio Pictures, Inc. Acquired Pantages Vaudeville Circuit (1929), F. F. Proctor chain (1929), and Libson-Heidingfeld-Harries chain (1930). Formed subsidiaries Radio-Keith-Orpheum (Canada), Ltd. and Radio-Keith-Orpheum San Francisco Co. (1929). Purchased major part of Pathé Exchange, Inc.'s production and distribution business (1931), acquiring Pathé Picture, Inc., RKO Pathé Export Corp., RKO Pathé Studios, Ltd., and Pathé News, Inc. Formed Trans Lux Movie Corp. (1930) with Trans-Lux Daylight Picture Screen Corp. Entered a five-year franchise with Fox Film Corp. (1931) for Fox product in RKO theatres. Signed a patent exchange agreement (1930) with German and American film and electrical industries, including German companies A. G. group, Siemens & Halske A. G., and Tobis Klangfilm Co., for world territory division and licensing. Entered receivership on Jan. 27, 1933, with Irving Trust Co. appointed receiver."
Parker A. G.,Parker Pen Co.,Others,AG,PARKER PEN CO. (THE),Parker A. G.,"Vol 1, p. 3041","Incorporated under Wisconsin laws Feb. 22, 1892. Manufactures and sells fountain pens and patented pencils. Plant is located at Janesville, Wis. In Dec. 1929, the company disposed of its approximately 90% stock interest in Parker A. G., which operated a manufacturing plant in Dossenheim, Heidelberg, Germany. Other products include ""Quink"" ink and Vacuum Filler. Number of employees: 873 (May 1934). Management includes G. S. Parker (Chairman) and K. S. Parker (President)."
,Ford Motor Company,USO,Others,Ford Motor Co.,,"Vol 1, p. 3083","The Ford Motor Co. operates extensive facilities, including its main Rouge plant in the Detroit area, which is a large industrial complex with various manufacturing capabilities. It has numerous smaller manufacturing and hydro-electric plants across the US, and operates its own shipping for raw materials and parts. The company maintains 92 US branches for assembly and dealer supervision. Internationally, Ford has manufacturing plants in East Windsor (Canada), Dagenham (England), and Cologne (Germany), with the Cologne plant overseeing operations in Germany, Austria, Hungary, and Czechoslovakia. Ford also has a wide network of international assembly plants and service companies in South America, Asia, Europe, and Africa. The firm holds concessions for rubber development in Brazil and silica property in Pennsylvania. Notable subsidiaries include Lincoln Motor Co. (acquired 1922, producing high-quality motor cars), Fordson Coal Co. (incorporated 1928, operating coal mines), and Universal Credit Corp. (established 1928 for financing Ford products, later sold in 1933 but continued its financing role)."
Mercedes Buromaschinen Werke AG,Underwood Elliott Fisher Company,USOP,AG,UNDERWOOD ELLIOTT FISHER COMPANY,"Mercedes Buromaschinen Werke A. G. of Zella-Mehlis, Thuringen Germany","Vol 1, p. 3102","NOTE: Accounts certified by Touche, Niven & Co. in March, 1933, stated value of common stock was reduced from $25 to $10 per share, resulting surplus being used to write down patents and good-will to $1 and to set up a reserve for revaluation of assets. † Not including Elliott-Fisher Co. and its subsidiaries. * $1 paid on $25 per share and $2 on no par share. † Represented by no par shares; 1931 and 1932, 666,748 shares; 1933, 674,448. ‡ Includes $1,380,064 special surplus capital reserve used in retirement of advances to subsidiary and affiliated companies not consolidated—in wholly-owned companies at equity value, in other companies at cost. †† At lower of market or cost."
,The Willys-Overland Company,USC,Others,THE WILLYS-OVERLAND COMPANY,,"Vol 1, p. 3116","The Willys-Overland Company was incorporated in Ohio on November 18, 1912, succeeding the Toledo Motor Co. (which was incorporated in December 1908 and succeeded the Pope Motor Car Co.). The company manufactures and sells low and medium-priced motor cars, trucks, and parts. Its principal plant is in Toledo, Ohio, with subsidiary plants in Pontiac, Michigan; Elmira, New York; and Los Angeles, California. It also has affiliated companies located in Canada, England, and Germany. As of June 1, 1933, it had 3,000 employees and a capacity of 2,000 cars per day. Key subsidiaries include Willys-Overland Inc. (Va.), Willys Export Corp. (Del.), Willys-Overland Branches Inc. (Del.), Willys-Overland Sales Co. Ltd. (Can.), Wilson Foundry & Machine Co. (Del.), Willys-Overland, Inc., of Illinois (Ill.), Willys-Overland, Inc., of Pennsylvania (Del.), and Willys-Overland Parts Corp."
"Deutsche Timken G.m.b.H., of Berlin",The Timken Roller Bearing Company,USOP,GmbH,The Timken Roller Bearing Co.,Deutsche Timken G.m.b.H. of Berlin,"Vol 1, p. 3141","The firm manufactures roller bearings, electric furnace and open-hearth steel, and alloy seamless tubing. It has plants in Canton, Gambrinus, Columbus, and Wooster, Ohio. The Canton plant is a complete unit for roller bearing manufacturing, comprising a Steel Mill (with 90-ton open-hearth furnaces, electric furnaces, and various mills) and a Bearing Plant (with machinery for manufacturing bearings). The Gambrinus plant, erected in 1929, is an alloy tube and finishing mill and a bearing factory. The Columbus plant is a self-contained factory for bearing production, with raw materials from the Canton Steel Plant. The Wooster plant produces finished tubing and has been unused since 1930."
,Seabrook International Engineering Corp.,Others,Others,Seabrook International Engineering Corp.,,"Vol 1, p. 3207","Seabrook International Engineering Corp. is a holding company that acquired control of Seabrook Engineering Corp. Seabrook Engineering Corp. operates branch offices or agencies, including one in Berlin, Germany, which serves as its German presence."
I. G. Farbenindustrie,American I. G. Chemical Corp.,DEO,AG,AMERICAN I. G. CHEMICAL CORPORATION,I. G. Farbenindustrie A. G.,"Vol 1, p. 3243","Incorporated May 19, 1916, in Delaware, as a holding corporation. It owns capital stock of companies in two groups: oil producing and transportation, and manufacturing of oil refinery equipment (steel storage tanks, barrels, drums, pipe, freight cars, tank cars). The corporation, jointly with Frost Lumber Industries, Inc., owns the entire capital stock of Union Power Co. Through its subsidiaries, it holds approximately 1,500,000 acres of land. As of Jan. 1, 1931, it acquired the entire rolling stock of Pennsylvania Tank Line. On Mar. 31, 1933, it sold Pennsylvania Car Co. and Pennsylvania Tank Line to General American Transportation Co."
,International Mercantile Marine Co.,Others,Others,INTERNATIONAL MERCANTILE MARINE COMPANY,,"Vol 1, p. 3262","History: Incorporated under the laws of New Jersey, June 6, 1893, as the International Navigation Co.; name changed to present title by amended certificate dated Oct. 1, 1902. Company is a holding company engaged through its subsidiaries in transportation of passengers, mails, live stock, merchandise and other vessels, in purchasing, owning, chartering and operating such vessels; in purchasing, owning and holding stocks, bonds, etc., and in doing matters in valuable terminal facilities at Liverpool, London, Southampton, Antwerp and Hamburg and at Montreal, Philadelphia, Baltimore, New York, New Orleans, Galveston and Boston, and leases five large piers on the North River, New York; also owns an office building in New York, and at Liverpool has shops, where much of the repair work for the fleet is handled. Entire capital stock of Roosevelt Steamship Co., Inc., was acquired by the company's stock. Roosevelt Steamship Co. are agents for United States Lines Co., United States Lines Co., Nevada—general index). Effective June 30, 1934, company ceased to act as agents for the White Star Line. Note: Liquidation of International Navigation Co., Ltd., a former foreign subsidiary was completed during 1930, its assets being taken over by Frederick Leyland & Co., Ltd. In Oct., 1931, jointly with the Dollar-Dawson interests of San Francisco, organized the United States Lines Co. (see general index) to acquire assets of U. S. Lines, Inc. (see general index). According to a published notice to security holders of Munson Steamship Line, a majority of the common stock of that company will be acquired upon completion of the capital readjustment plan (for details see under Munson Steamship Line, general index). On May 8, 1934, the Chancery Court at London, Eng., dismissed motion of International Mercantile Marine Co. for an injunction to prevent the Cunard-White Star shipping lines from merging. In denying affirmative justice to I. M. M. in delivering the decision, said that it was impossible to hold that I. M. M. was entitled to maintain the action, since a requisite of such a suit is that the plaintiff be a shareholder in the company. P. A. S. Franklin, president of I. M. M., is opposed to the merger, said that the White Star Line owned its modern sii-000,000 for thirty-six ships. He added that I. M. M. holds stock in the Oceanic Steam Navigation Co., owner of White Star Line collateral. In the notice we are told that I. M. M. was not a shareholder in the Oceanic, explaining that the shares in question were vested in the trustees, and that the American company's interests were limited to having the proceeds of the sale applied towards any money due it."
"Paramount Film Vertreib G. m. b. H., Berlin, Germany","Paramount Pictures, Inc.",USO,GmbH,PARAMOUNT PUBLIX CORPORATION,"Paramount Film Vertrieb G.m.b.H., Berlin, Germany","Vol 1, p. 3270","Incorporated July 19, 1916, in New York as Famous Players-Lasky Film Co., later becoming Paramount Publix Corporation. The firm is engaged in producing and leasing motion picture negatives and positives, and owns/operates motion picture theatres, acting as both an operating and holding company. As of May 1934, it was reported to have over 350 subsidiaries, with at least one-third facing varying degrees of financial difficulty. Furthermore, on June 8, 1933, trustees in bankruptcy filed an action claiming Paramount Publix Corp. was insolvent when certain assets were transferred, alleging these transfers were preferential to creditor banks."
Deutsche Fox-Film Aktiengesellschaft,Twentieth Century-Fox Film Corp.,USO,AG,FOX FILM CORPORATION,Deutsche Fox Film A.G. (Germany),"Vol 1, p. 3300","Incorporated in New York on Feb. 1, 1915, with perpetual charter. Its chief business is the production, distribution, and exhibition of motion pictures, including news-reels (Fox Movietone News). The company distributes its product through 180 foreign and domestic branches and engages in exhibition primarily through its wholly-owned subsidiary, Wesco Corporation, which operates approximately 800 theatres. In Jan. 1933, it took over sale and distribution of Educational and World Wide Pictures. From Sept. 1, 1933, it had a five-year franchise with Radio-Keith-Orpheum Corp. to distribute 100% of Fox product in 48 RKO Theatres in the greater New York area. As of May 1, 1934, it had about 14,000 employees. Fox Film Corp. owns 49% of ordinary B shares of Metropolis & Bradford Trust Co., Ltd., which in turn owns 65% of Gaumont-British Picture Corp., the largest exhibitors in England. The company also owns a controlling interest in Movietonews, Inc. Control of the company shifted over time; General Theatres Equipment, Inc. acquired control in Apr. 1930, and by Jan. 1934, Chase National Bank, New York, stated it owned and controlled a majority of outstanding voting stock. An anti-trust suit was terminated by a court decree on Apr. 15, 1931, requiring the divestment of all stocks and interests in Loew's Inc. and preventing Fox interests from keeping Metro units."
Deutsch-Amerikanische Petroleum-Gesellschaft,Standard Oil Company (New Jersey),USO,AG,Standard Oil Co. (New Jersey),Deutsch Amerikanische Petroleum Ges. (Germany),"Vol 1, p. 3307","Following a dissolution decree, the company distributed its stock holdings in 33 companies in Dec. 1911 and early 1912. Standard Oil Development Co. was incorporated in 1923 (name changed 1927) for technical research and patent rights. Standard Oil Co. of New Jersey, Standard Shipping Co., and Stanco, Inc. were incorporated in 1927/1928, making the main Standard Oil Co. a holding company. As of Dec. 31, 1933, the firm and its subsidiaries employed 47,935 persons in the U.S. In May 1932, the company acquired foreign properties of Pan American Petroleum & Transport Co. STANDAND-L. G. Co. was incorporated in Oct. 1928 as a merger of interests of Standard Oil Co. (N. J.) and L. G. Farbenindustrie A. G. for hydrogenation development. International Hydrogenation Patents Co. was formed in 1931 through the fusion of interests of Standard Oil Co. of New Jersey, I. G. Farbenindustrie A. G. of Germany, and Royal Dutch."
,Standard Oil Company (New Jersey),USC,Others,Standard Oil Co. (New Jersey),-,"Vol 1, p. 3308","Incorporated in Delaware, Standard-Vacuum Oil Co. is a fully integrated unit formed by the acquisition of properties from Vacuum Oil Co. and Standard Oil Co. (N. J.). It possesses crude supplies, refineries, marketing outlets, storage, and distributing facilities, with properties primarily located in India, China, Japan, South Africa, Dutch East Indies, Australia, and New Zealand. The company also acquired control of Koloniale (a Dutch subsidiary of Standard Oil (N. J.)) and Union Atlantic Co. Its capital stock of $10,000,000 is equally owned by Socony-Vacuum Co. and Standard Oil Co. (N. J.). German inventions and experience are made available to the company through Standard I. G. Co., which represents the fusion of hydrogenation interests between I. G. Farbenindustrie of Germany and Standard Oil Co. of Jersey."
Ebano Asphalt-Werke Aktiengesellschaft,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),USO,AG,Pan American Foreign Corporation,Ebano Asphalt Werke A. G.,"Vol 1, p. 3320",
Ebano Asphalt Gesellschaft m.b.H.,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),USO,GmbH,Pan American Foreign Corporation,Ebano Asphalt Gesellschaft m.b.H.,"Vol 1, p. 3320",
Emas A.G. fuer Strassenbaubedarf,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),USO,AG,Pan American Foreign Corporation,Emas A.G. fuer Strassenbaubedarf,"Vol 1, p. 3320",
Euphalt Gesellschaft m.b.H.,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),USO,GmbH,Pan American Foreign Corporation,Euphalt Gesellschaft m.b.H.,"Vol 1, p. 3320",
Teerbaustoff Gesellschaft m.b.H.,Pan American Foreign Corporation (Controlled by Standard Oil Co. [N. J.]),USO,GmbH,Pan American Foreign Corporation,Teebaustoff Gesellschaft m.b.H.,"Vol 1, p. 3320",
West-Oel Gesellschaft m.b.H.,North European Oil Corp.,USO,GmbH,NORTHERN EUROPEAN OIL CORP.,West-Oel G.m.b.H.,"Vol 1, p. 3377","Company is engaged in the exploitation of oil fields in Germany and at Mar. 10, 1934, owned and controlled through above subsidiaries) oil and gas rights covering 70,700 acres in Germany as follows: Oldenburg, 65,000; Hanover, 30,000; Ostfriesland, 25,000. In May, 1931, sold to interests identified with Royal Dutch Shell 600,000 acres for $900,000. In 1934, F. Baker, president, announced that stockholders approved on Mar. 16 an agreement for transfer of company's German properties, leases and concessions to a subsidiary of the Socony Vacuum Corp. for development and operation."
"Erdoelwerke Wathlingen, Wuerttembergische Mineralgesellschaft m.b.H.",North European Oil Corp.,USO,GmbH,NORTHERN EUROPEAN OIL CORP.,"Erdoelwerke Wathlingen, Wuerttembergische Mineralgesellschaft m.b.H.","Vol 1, p. 3377","Company is engaged in the exploitation of oil fields in Germany and at Mar. 10, 1934, owned and controlled through above subsidiaries) oil and gas rights covering 70,700 acres in Germany as follows: Oldenburg, 65,000; Hanover, 30,000; Ostfriesland, 25,000. In May, 1931, sold to interests identified with Royal Dutch Shell 600,000 acres for $900,000. In 1934, F. Baker, president, announced that stockholders approved on Mar. 16 an agreement for transfer of company's German properties, leases and concessions to a subsidiary of the Socony Vacuum Corp. for development and operation."
Nordeuropaeische Oelgesellschaft m.b.H.,North European Oil Corp.,USO,GmbH,NORTHERN EUROPEAN OIL CORP.,Nordeuropaeische Oelgesellschaft m.b.H.,"Vol 1, p. 3377","Company is engaged in the exploitation of oil fields in Germany and at Mar. 10, 1934, owned and controlled through above subsidiaries) oil and gas rights covering 70,700 acres in Germany as follows: Oldenburg, 65,000; Hanover, 30,000; Ostfriesland, 25,000. In May, 1931, sold to interests identified with Royal Dutch Shell 600,000 acres for $900,000. In 1934, F. Baker, president, announced that stockholders approved on Mar. 16 an agreement for transfer of company's German properties, leases and concessions to a subsidiary of the Socony Vacuum Corp. for development and operation."
Gewerkschaft Regina zu Caan,North European Oil Corp.,USO,GmbH,NORTHERN EUROPEAN OIL CORP.,Gewerkschaft Regina zu Caan,"Vol 1, p. 3377","Company is engaged in the exploitation of oil fields in Germany and at Mar. 10, 1934, owned and controlled through above subsidiaries) oil and gas rights covering 70,700 acres in Germany as follows: Oldenburg, 65,000; Hanover, 30,000; Ostfriesland, 25,000. In May, 1931, sold to interests identified with Royal Dutch Shell 600,000 acres for $900,000. In 1934, F. Baker, president, announced that stockholders approved on Mar. 16 an agreement for transfer of company's German properties, leases and concessions to a subsidiary of the Socony Vacuum Corp. for development and operation."
Oldenburgische Oelausbeutungesellschaft m.b.H.,North European Oil Corp.,USO,GmbH,NORTHERN EUROPEAN OIL CORP.,Oldenburgische Oelausbeutungesellschaft m.b.H.,"Vol 1, p. 3377","Company is engaged in the exploitation of oil fields in Germany and at Mar. 10, 1934, owned and controlled through above subsidiaries) oil and gas rights covering 70,700 acres in Germany as follows: Oldenburg, 65,000; Hanover, 30,000; Ostfriesland, 25,000. In May, 1931, sold to interests identified with Royal Dutch Shell 600,000 acres for $900,000. In 1934, F. Baker, president, announced that stockholders approved on Mar. 16 an agreement for transfer of company's German properties, leases and concessions to a subsidiary of the Socony Vacuum Corp. for development and operation."
Harburger Bergbau G.m.b.H.,North European Oil Corp.,USO,GmbH,NORTHERN EUROPEAN OIL CORP.,Harburger Bergbau G.m.b.H.,"Vol 1, p. 3377","Company is engaged in the exploitation of oil fields in Germany and at Mar. 10, 1934, owned and controlled through above subsidiaries) oil and gas rights covering 70,700 acres in Germany as follows: Oldenburg, 65,000; Hanover, 30,000; Ostfriesland, 25,000. In May, 1931, sold to interests identified with Royal Dutch Shell 600,000 acres for $900,000. In 1934, F. Baker, president, announced that stockholders approved on Mar. 16 an agreement for transfer of company's German properties, leases and concessions to a subsidiary of the Socony Vacuum Corp. for development and operation."
