page,block,line,x0,y0,x1,y1,text,keyword,page_right,firm_name,german_subsidiary,notes,US company name,US Company,affiliated German firm name,German subsidiary,reviewed_notes,mentions a subsidiary,mentions stock ownership,subsidiary is AG,subsidiary is GmbH,mentions an affiliated company,mentions a plant/office/branch,is a subsidiary of a German firm,other types of agreement
2749,3,6,68.4,125.277,154.164,136.375,Hamburg and Havana.,Hamburg,2749,The North American Provision Company,Hamburg,6% (formerly 7%) cum. preferred stock was retired during 1931.,The North American Provision Company,The North American Provision Company,,,"Companies packing establishments ..., having distributing stations in most of the large cities of the United States, and also in... Hamburg...",False,False,False,False,False,True,False,False
2753,46,8,64.55,638.429,530.0,654.531,"with 187,000 eq. ft floor space in Berlin, Germany. Jan. 31, 1929, company acquired over 99% (now 100% owned) of ",German,2753,NATIONAL CASH REGISTER COMPANY,National Register Kassen Gesellschaft M.b.H.,"Incorporated in Maryland, Jan. 2, 1926, succeeding a company of same name, incorporated March 19, 1882. Plant located at Dayton, O. occupies 247 acres of land, on which are located 24 buildings, having 50 acres of floor space. Company manufactures cash registers and adding-typewriters and kindred devices. The National Register Kassen Gesellschaft M.b.H. operates a modern plant with 187,000 sq. ft. floor space in Berlin, Germany. On Jan. 31, 1929, company acquired over 99% (now 100% owned) of capital stock of Ellis Adding-Typewriter Co. by issuing 30,000 shares of class A common stock and paying $4,000,000 assets of Remington Cash Register Co. for $2,500,000. Plant of Ellis Adding-Typewriter Co. located in Newark, N. J., consists of 1.96 acres of land, 48,560 sq. ft. of floor space. Plant was closed in 1931 and all company's products are being made at Dayton, O. Company has branches or agencies in every important city in the world. Number of employees, May 25, 1934, 12,416.",NATIONAL CASH REGISTER COMPANY,The National Cash Register Company,National Register Kassen Gesellschaft M.b.H.,National-Krupp Registrier-Kassen G.m.b.H.,"The National Register Kassen Gesellschaft M.b.H. operates a modern plant with 187,000 sq. ft. floor space in Berlin, Germany.",True,False,False,True,False,False,False,False
2755,12,5,76.55,169.996,214.526,181.596,"••'includes *1,341.947 cash In Germany.",German,2755,National Lead Company,Titangesellschaft M. B. H.,"National Lead Company, in agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft (I. G. Farbenindustrie A. G.), holds an interest in Titangesellschaft M. B. H. This German subsidiary operates a plant in Leverkusen, near Cologne, for the manufacture of titanium pigments, which are marketed in Germany and Central Europe.",National Lead Company,National Lead Company,Titangesellschaft M. B. H.,Titangesellschaft m.b.H.,"""Company also concluded an agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellshcaft to manufacture and market in Germany and Central Europe titanium pigments from the Norwegian ores. I. G. Farbenindustrie A. G. and the company each own an interest in Titangesellschaft M. B. H. which has built a plant for the manufacture of titanium pigments at Leverkusen, near Cologne, Germany.""",True,False,False,True,False,False,False,False
2755,12,5,76.55,169.996,214.526,181.596,"••'includes *1,341.947 cash In Germany.",German,2755,National Lead Company,Titangesellschaft M. B. H.,"National Lead Company, in agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellschaft (I. G. Farbenindustrie A. G.), holds an interest in Titangesellschaft M. B. H. This German subsidiary operates a plant in Leverkusen, near Cologne, for the manufacture of titanium pigments, which are marketed in Germany and Central Europe.",National Lead Company,National Lead Company, I. G. Farbenindustrie,,"""Company also concluded an agreement with Die Interessengemeinschaft Farbenindustrie Aktiengesellshcaft to manufacture and market in Germany and Central Europe titanium pigments from the Norwegian ores. I. G. Farbenindustrie A. G. and the company each own an interest in Titangesellschaft M. B. H. which has built a plant for the manufacture of titanium pigments at Leverkusen, near Cologne, Germany.""",False,False,False,False,False,False,False,True
2767,2,16,74.15,132.998,530.95,147.099,"B«Hn, Germany.(organised in 1926) and F. W. Woolworth A Co, Ltd., of London, Eng. (see appended statement). The ",German,2767,F. W. Woolworth Company,"F. W. Woolworth Co. G. m. b. H., Berlin, Germany","The firm was organized in New York on December 15, 1911. Its German subsidiary, F. W. Woolworth Co. G. m. b. H., Berlin, Germany, was organized in 1932 and primarily operates ""five and ten cent"" stores, with an experimental addition of a 20 cent line in about 100 stores in Spring 1932. As of December 31, 1933, the company controlled 81 stores in Germany, out of a total of 1,941 stores across the United States, Great Britain, and Germany. The total number of employees as of May 1, 1934, was 54,480. The company also owns Woolco Realty Corp., incorporated in March 1924, which owns and manages the Woolworth Building in New York, purchased for $11,000,000.",F. W. Woolworth Company,F. W. Woolworth Co.,"F. W. Woolworth Co. G. m. b. H., Berlin, Germany",F. W. Woolworth Co.,... controls F. W. Woolworth Co. G. m. b. H.,True,False,False,True,False,False,False,False
2945,21,3,290.4,399.092,530.5,413.991,"__’ corporations, to Hamburg-American Line. In 1927 company ",Hamburg,2945,AMERICAN SHIP & COMMERCE CORPORATION,Hamburg-American Line,"Incorporated July 18, 1919, under the laws of Delaware, to acquire control of Wm. Cramp & Sons Ship & Engine Building Co. and Baltimore-Atlantic Steamship Co., Inc. (latter dissolved in 1928), and to invest in other companies, engaged principally in steamship, shipbuilding, importing, exporting and allied industries, and to engage in commerce and industry. Stockholders voted July 23, 1926, to sell United American Lines Resolute, Reliance and Cleveland, and affiliated shipping corporations, to Hamburg-American Line. In 1927 company's principal assets as of April 30, 1934, consisted of 61.59% (98,546 shares) of the capital stock and $1,953,800 principal amount of general 6s, due June 1, 1930, of William Cramp & Sons Ship & Engine Building Co.; 87.62% (131,427 shares) of the capital stock of Cramp-Morris Industrials, Inc. (see appended statements), and 85,096 shares (or 100 Mks.) of Hamburg-American Line. Capital Stock: Authorized, 400,000 shares (reduced from 1,500,000 shares in May, 1933); outstanding, 591,271 shares; no par. No dividends reported.",AMERICAN SHIP & COMMERCE CORPORATION,American Ship & Commerce Corp.,,,"Stockholders voted July 23, 1926, to sell United American liners Resolute, Reliance and Cleveland, and capital stock of certain subsidiary and affiliated shipping corporations, to Hamburg-American Line.",False,False,False,False,False,False,False,False
2986,55,3,225.35,630.436,369.45,637.767,Hamburg-Amerikanische MlntraJol-Gesell- ,Hamburg,2986,TIDE WATER OIL COMPANY,"Hamburg-Amerikanische Mineralol-Gesellschaft, M.B.H.","Incorporated in New Jersey, Nov. 10, 1888. Engaged directly and through subsidiaries in producing, refining, manufacturing, transporting and marketing petroleum and its products. As of Dec. 31, 1938, Tide Water Oil Co. and subsidiaries owned and leased 50,614 acres of producing and 89,770 acres of non-producing lands in various states. Net crude oil production was 10,976,600 barrels. The company operates two refineries at Bayonne, N.J. and Drumright, Okla., with a daily average crude oil capacity of 74,400 barrels. It also owns extensive pipe lines, tank cars, and other transportation equipment. Controlled by Tide Water Associated Oil Co., which owned 98.79% of its common stock as of Dec. 31, 1938.",TIDE WATER OIL COMPANY,Tide Water Associated Oil Co.,"Hamburg-Amerikanische Mineralol-Gesellschaft, M.B.H.",Hamburg-Amerikanische Mineralol-G.m.b.H.,"Under section ""Other Companies""(The company or a subsidiary company holds a direct or indirect interest in the following companies: Hamburg-Amerikanische Mineralol-Gesellschaft, M.B.H.",True,True,False,True,False,False,False,False
2989,61,6,72.7,635.977,321.787,647.075,"Factories located in this country, Canada, England and. .Germany.",German,2989,The Torrington Company (of Connecticut),"The Metallwaren Gesellschaft G. m. b. H., of Aachen, Germany","The Torrington Company (of Connecticut) was incorporated on May 26, 1917, and on July 2, 1917, acquired all assets and liabilities of The Torrington Company (of Maine), which was incorporated in 1898. The firm manufactures sewing machine and knitting machine needles, wire vehicle spokes, nipples, pedals, and high-grade small ball bearings, with factories in the USA, Canada, England, and Germany. Key plants include Excelsior Needle Co. and Standard Co. (Torrington), Tilley-Pratt Co., Ltd. (Coventry, Eng.), The Metallwaren Gesellschaft G. m. b. H. (Aachen, Germany), and The Torrington Co. Ltd. (Upper Bedford, Quebec, Canada). The Standard Co. previously owned the Eagle Company of New Jersey, which was later dissolved, with its plants now part of The Torrington Co. Standard Plant. Financial notes indicate accounts certified by Park, Stevens & Co. to 1922, foreign company assets/profits converted at current exchange rates in 1923 and 1922, and a market value of $4,976,750 in 1922 and 1923.",The Torrington Company (of Connecticut),The Torrington Company,"Metallwaaren Gesellschaft m.b.H., of Aachen, Germany","Metallwaaren Gesellschaft m. b. H., of Aachen","In description: ""Factories located in this country, Canada, England and Germany... The plants of the company are as follows: ... the Metallwaaren Gesellschaft m. b. H., of Aachen, Germany""",True,False,False,True,False,False,False,False
3004,9,4,67.45,288.325,217.5,299.623,"heim, Germany, an 80% interest In that ",German,3004,GENERAL MOTORS CORPORATION,Adam Opel A.G.,"Incorporated Oct. 13, 1916, under the laws of Delaware. The company manufactures, buys, sells, and deals in automobiles, cars, boats, and flying machines, and conducts a general automobile business. It also acquires patents and securities of other corporations. In March 1934, passenger models ranged from $465 to $2,950. General Motors Corp. operates as both an operating concern for its manufacturing divisions and a holding company for other affiliated companies.",GENERAL MOTORS CORPORATION,General Motors Corporation (Overseas Operations),Adam Opel A.G.,,"Under section ""Overseas Operations Group"": ""Adam Open AG. is responsible for the manufacture and distribution of Opel products in Germany. Vauxhall Motors, Ltd. is responsible for the manufacture and distribution of Vauxhall products to the British Isles. The Export Division is responsible for the distribution of all of the Corporation's products, from whatever source, in all other overseas territories."" ""Adam Opel, A.G. Rüsselheim, Germany. Manufacture and distribution in Germany of Opel motor cars and Blitz trucks; plant at Rüsselheim.""",True,False,True,False,False,False,False,False
3011,3,7,69.1,120.976,522.964,134.579,"trucks manufactured in England, and Opel automobiles and Blits trucks manufactured in Germany. Company's opera­",German,3011,GENERAL MOTORS ACCEPTANCE CORPORATION,Continental Allgemeine Finanzierungs-Gesellschaft m. b. H.,"The consolidated statements include General Motors Acceptance Corp. (N. Y.), General Motors Acceptance Corp. of Indiana, General Motors Acceptance Corp. de Mexico, S. A., General Motors Acceptance Corp. of South America, General Motors Acceptance Corp. Continental, and Allgemeine Finanzierungs-Gesellschaft m. b. H.",GENERAL MOTORS ACCEPTANCE CORPORATION,General Motors Acceptance Corporation,Continental Allgemeine Finanzierungs-Gesellschaft m. b. H.,Allgemeine Finanzierungs Gesellschaft m.b.H.,"Owns entire capital stock, except directors' qualifying shares, of General Exchange Insurance Corp. and General Motors Acceptance Corp. of Del., ..., Continental Allgemeine Finanzierungs G.m.b.H., ...",True,False,False,True,False,False,False,False
3017,43,5,69.6,592.307,525.7,605.605,"Radio Suisse Sodete; the Governments of Norway, Germany, Poland, Sweden, the Netherlands, Venezuela, Belgium, ",German,3017,RADIO CORPORATION OF AMERICA,None explicitly named,"Incorporated Oct. 17, 1919, acquiring Marconi Wireless Telegraph Co. of America's property and patents. Formed by General Electric Co. to acquire foreign control of Marconi Co. and rights to GE, Westinghouse, and AT&T devices. Acquired Independent Wireless Telegraph Co. in 1927. Major acquisitions/interests (1928-1933) include substantial interest in Radio-Keith-Orpheum Corp. (R-K-O), control of Victor Talking Machine Co. and Cuba Transatlantic Radio Corp., and assets of De Forest Radio Co. and Jenkins Television Corp. Business activities include wireless communication, radio broadcasting, sale of radio apparatus, motion picture apparatus development, and patent licensing. Key subsidiaries include R. C. A. Communications, Inc. (operating international radiotelegraph services with various partners, including 'German radio interests' in consortium companies) and National Broadcasting Co., Inc., RCA Victor Co., Inc., and RCA Photophone, Inc. (of which RCA became sole owner). As of Jan. 1, 1933, RCA acquired radio manufacturing rights and facilities from General Electric Co. and Westinghouse Electric & Manufacturing Co., gaining exclusive patent licenses, reducing transmission costs, and cancelling royalty liabilities.",RADIO CORPORATION OF AMERICA,Radio Corporation of America,,,"Mentions Germany for ""R. C. A. Communications, Inc., a subsidiary, operates international radiotelegraph services in conjunction with Amalgamated Wireless (Australasia) Ltd... the Governments Norway, Germany, Poland, ....""",False,False,False,False,False,False,False,False
3019,6,5,228.5,108.461,260.95,115.759,Germany ,German,3019,Radio Corp. of America,Not specified,"Radio Corp. of America is the parent company, owning subsidiaries such as R.C.A. Radiotron Co., Inc., R.C.A. Communications, Inc., and Radiomarine Corp. of America. It also has interests in National Broadcasting Co. and Radio Real Estate Corp. of America. Note (1): Earnings prior to 1928 do not include Victor Talking Machine Co., control of which was acquired in Feb., 1929. Note (2): According to the auditors' certificate consolidated operations of Radio-Keith-Orpheum Corp. for the year 1933 will show a loss of $2,341,714 as compared with a loss of $10,695,503 in 1932; the auditing of the consolidated operations of the Radio Corp. was limited.",Radio Corp. of America,Radio Corporation of America,,,"Germany is a country listed under Principal subsidiary and affiliated companies ""Transatlantic"" section",True,False,False,False,False,False,False,False
3022,14,2,69.6,488.925,295.5,500.223,Illa ranrasantatlvaa of the German and American fllm and ,German,3022,RADIO-KEITH-ORPHEUM CORPORATION,"A. G. group, Siemens & Halske A. G., Tobis Klangfilm Co.","Incorporated in Maryland, Oct. 25, 1928 as a holding company. Engaged in theatrical operations, film production, distribution, and broadcasting. Controls Keith-Albee-Orpheum Corp. and RKO Radio Pictures, Inc. Acquired Pantages Vaudeville Circuit (1929), F. F. Proctor chain (1929), and Libson-Heidingfeld-Harries chain (1930). Formed subsidiaries Radio-Keith-Orpheum (Canada), Ltd. and Radio-Keith-Orpheum San Francisco Co. (1929). Purchased major part of Pathé Exchange, Inc.'s production and distribution business (1931), acquiring Pathé Picture, Inc., RKO Pathé Export Corp., RKO Pathé Studios, Ltd., and Pathé News, Inc. Formed Trans Lux Movie Corp. (1930) with Trans-Lux Daylight Picture Screen Corp. Entered a five-year franchise with Fox Film Corp. (1931) for Fox product in RKO theatres. Signed a patent exchange agreement (1930) with German and American film and electrical industries, including German companies A. G. group, Siemens & Halske A. G., and Tobis Klangfilm Co., for world territory division and licensing. Entered receivership on Jan. 27, 1933, with Irving Trust Co. appointed receiver.",RADIO-KEITH-ORPHEUM CORPORATION,Radio-Keith-Orpheum Corporation (Controlled by Radio Corp. of America),"A. E. G. group, Siemens & Halske A. G., and Tobis Klangfilm Co. R. C. A. Photophones",,"Agreement for Exchange of Patent Rights: The companies involved in the negotiations include for Germanym the A. E. G. group, Siemens & Halske A. G., and Tobis Klangfilm Co. R. C. A. Photophones and numerous picture-producing companies, including Universal, United Artists, Metro-Goldwyn, Patho Exchange, Paramount, Columbia, Tiffany-Stahl, and Radio-Keith-Orpheum.",False,False,False,False,False,False,False,True
3041,46,1,302.4,220.242,526.4,235.141,"Germany. In Feb., 1929, jointly with the Wahl Co., and ",German,3041,PARKER PEN CO. (THE),Parker A. G.,"Incorporated under Wisconsin laws Feb. 22, 1892. Manufactures and sells fountain pens and patented pencils. Plant is located at Janesville, Wis. In Dec. 1929, the company disposed of its approximately 90% stock interest in Parker A. G., which operated a manufacturing plant in Dossenheim, Heidelberg, Germany. Other products include ""Quink"" ink and Vacuum Filler. Number of employees: 873 (May 1934). Management includes G. S. Parker (Chairman) and K. S. Parker (President).",PARKER PEN CO. (THE),Parker Pen Co.,Parker A. G.,,"On Dec. 28, 1929, The Parker Pen Co. disposed of its approximately 80% stock interest in Parker, A. G., which operated a manufacturing plant in Dossenheim, Heidelberg, Germany.",False,False,False,False,False,False,False,False
3083,13,2,71.75,204.735,526.114,220.434,"logne, Germany. The plant at East Windsor supervises sales and supplies materia! for Canada with eight branch or­",German,3083,Ford Motor Co.,Cologne plant,"The Ford Motor Co. operates extensive facilities, including its main Rouge plant in the Detroit area, which is a large industrial complex with various manufacturing capabilities. It has numerous smaller manufacturing and hydro-electric plants across the US, and operates its own shipping for raw materials and parts. The company maintains 92 US branches for assembly and dealer supervision. Internationally, Ford has manufacturing plants in East Windsor (Canada), Dagenham (England), and Cologne (Germany), with the Cologne plant overseeing operations in Germany, Austria, Hungary, and Czechoslovakia. Ford also has a wide network of international assembly plants and service companies in South America, Asia, Europe, and Africa. The firm holds concessions for rubber development in Brazil and silica property in Pennsylvania. Notable subsidiaries include Lincoln Motor Co. (acquired 1922, producing high-quality motor cars), Fordson Coal Co. (incorporated 1928, operating coal mines), and Universal Credit Corp. (established 1928 for financing Ford products, later sold in 1933 but continued its financing role).",Ford Motor Co.,Ford Motor Company,,,"There are associated companies with manufacturing plants at Easr Windsor, Canada; Dagenham, England and Cologne, Germany.",True,False,False,False,True,True,False,False
3102,8,5,303.1,139.793,531.2,154.493,"schlnen Werke A Q. of Zella-Mehli» Thüringen Germany, ",German,3102,UNDERWOOD ELLIOTT FISHER COMPANY,"Mercedes Buromaschinen Werke A. G. of Zella-Mehlis, Thuringian Germany","NOTE: Accounts certified by Touche, Niven & Co. in March, 1933, stated value of common stock was reduced from $25 to $10 per share, resulting surplus being used to write down patents and good-will to $1 and to set up a reserve for revaluation of assets. † Not including Elliott-Fisher Co. and its subsidiaries. * $1 paid on $25 per share and $2 on no par share. † Represented by no par shares; 1931 and 1932, 666,748 shares; 1933, 674,448. ‡ Includes $1,380,064 special surplus capital reserve used in retirement of advances to subsidiary and affiliated companies not consolidated—in wholly-owned companies at equity value, in other companies at cost. †† At lower of market or cost.",UNDERWOOD ELLIOTT FISHER COMPANY,Underwood Elliott Fisher Company,"Mercedes Buromaschinen Werke A. G. of Zella-Mehlis, Thuringen Germany",,"On Dec. 22, 1930, Underwood Elliot Fisher Co. (Del.), acquired a substantial financial interest in Mercedes Buromaschinen Werke A. G. of Zella-Mehlis, Thuringian Germany...",False,True,True,False,False,False,False,False
3116,9,6,65.05,282.812,529.05,298.212,"and Los Angeles, Cal; and affiliated enmnaniea located in Canada. England and Germany. Capacity, £000 can per day. ",German,3116,THE WILLYS-OVERLAND COMPANY,None explicitly named,"The Willys-Overland Company was incorporated in Ohio on November 18, 1912, succeeding the Toledo Motor Co. (which was incorporated in December 1908 and succeeded the Pope Motor Car Co.). The company manufactures and sells low and medium-priced motor cars, trucks, and parts. Its principal plant is in Toledo, Ohio, with subsidiary plants in Pontiac, Michigan; Elmira, New York; and Los Angeles, California. It also has affiliated companies located in Canada, England, and Germany. As of June 1, 1933, it had 3,000 employees and a capacity of 2,000 cars per day. Key subsidiaries include Willys-Overland Inc. (Va.), Willys Export Corp. (Del.), Willys-Overland Branches Inc. (Del.), Willys-Overland Sales Co. Ltd. (Can.), Wilson Foundry & Machine Co. (Del.), Willys-Overland, Inc., of Illinois (Ill.), Willys-Overland, Inc., of Pennsylvania (Del.), and Willys-Overland Parts Corp.",THE WILLYS-OVERLAND COMPANY,The Willys-Overland Company,,,"mentions ""affiliated companies located in Canada, England and Germany.""",False,False,False,False,True,True,False,False
3141,10,12,378.5,236.944,524.331,246.636,"Deutsche Timken G.m.b.H. of Berlin, Ger­",Deutsch,3141,The Timken Roller Bearing Co.,"Deutsche Timken G.m.b.H. of Berlin, Germany","The firm manufactures roller bearings, electric furnace and open-hearth steel, and alloy seamless tubing. It has plants in Canton, Gambrinus, Columbus, and Wooster, Ohio. The Canton plant is a complete unit for roller bearing manufacturing, comprising a Steel Mill (with 90-ton open-hearth furnaces, electric furnaces, and various mills) and a Bearing Plant (with machinery for manufacturing bearings). The Gambrinus plant, erected in 1929, is an alloy tube and finishing mill and a bearing factory. The Columbus plant is a self-contained factory for bearing production, with raw materials from the Canton Steel Plant. The Wooster plant produces finished tubing and has been unused since 1930.",The Timken Roller Bearing Co.,The Timken Roller Bearing Company,Deutsche Timken G.m.b.H. of Berlin,,"The Company through its subsidiaries and indirectly through investments held by the subsidiaries has interests in other European countries, including... Deutsche Timken G.m.b.H. of Berlin, ...",False,True,False,False,False,False,False,False
3207,14,11,301.7,341.891,434.199,351.521,"treal, Berlin, Budapest and Havana.",Berlin,3207,Seabrook International Engineering Corp.,Seabrook Engineering Corp.,"Seabrook International Engineering Corp. is a holding company that acquired control of Seabrook Engineering Corp. Seabrook Engineering Corp. operates branch offices or agencies, including one in Berlin, Germany, which serves as its German presence.",Seabrook International Engineering Corp.,Seabrook International Engineering Corp.,,,"Plant located at Bridgeton, N. J., and branch offices or agencies at New York, Philadeliphia, London, Paris, Montreal, Berlin, Budapest and Havana.",False,False,False,False,False,True,False,False
3243,68,4,69.1,376.776,295.5,390.379,"York, London, England, or in Reichsmarks at Deutsche ",Deutsch,3243,THE AMERICAN REPUBLICS CORPORATION,None found in the provided text.,"Incorporated May 19, 1916, in Delaware, as a holding corporation. It owns capital stock of companies in two groups: oil producing and transportation, and manufacturing of oil refinery equipment (steel storage tanks, barrels, drums, pipe, freight cars, tank cars). The corporation, jointly with Frost Lumber Industries, Inc., owns the entire capital stock of Union Power Co. Through its subsidiaries, it holds approximately 1,500,000 acres of land. As of Jan. 1, 1931, it acquired the entire rolling stock of Pennsylvania Tank Line. On Mar. 31, 1933, it sold Pennsylvania Car Co. and Pennsylvania Tank Line to General American Transportation Co.",AMERICAN I. G. CHEMICAL CORPORATION,American I. G. Chemical Corp.,I. G. Farbenindustrie A. G.,,Judging from the name it is a subsidiary of I. G. Farben,False,False,False,False,False,False,True,False
3262,17,6,68.9,419.048,524.664,430.448,"valuable terminal faculties at Liverpool, London, Southampton, Antwerp and Hamburg and at Montreal, Portland, Phila­",Hamburg,3262,INTERNATIONAL MERCANTILE MARINE COMPANY,None,"History: Incorporated under the laws of New Jersey, June 6, 1893, as the International Navigation Co.; name changed to present title by amended certificate dated Oct. 1, 1902. Company is a holding company engaged through its subsidiaries in transportation of passengers, mails, live stock, merchandise and other vessels, in purchasing, owning, chartering and operating such vessels; in purchasing, owning and holding stocks, bonds, etc., and in doing matters in valuable terminal facilities at Liverpool, London, Southampton, Antwerp and Hamburg and at Montreal, Philadelphia, Baltimore, New York, New Orleans, Galveston and Boston, and leases five large piers on the North River, New York; also owns an office building in New York, and at Liverpool has shops, where much of the repair work for the fleet is handled. Entire capital stock of Roosevelt Steamship Co., Inc., was acquired by the company's stock. Roosevelt Steamship Co. are agents for United States Lines Co., United States Lines Co., Nevada—general index). Effective June 30, 1934, company ceased to act as agents for the White Star Line. Note: Liquidation of International Navigation Co., Ltd., a former foreign subsidiary was completed during 1930, its assets being taken over by Frederick Leyland & Co., Ltd. In Oct., 1931, jointly with the Dollar-Dawson interests of San Francisco, organized the United States Lines Co. (see general index) to acquire assets of U. S. Lines, Inc. (see general index). According to a published notice to security holders of Munson Steamship Line, a majority of the common stock of that company will be acquired upon completion of the capital readjustment plan (for details see under Munson Steamship Line, general index). On May 8, 1934, the Chancery Court at London, Eng., dismissed motion of International Mercantile Marine Co. for an injunction to prevent the Cunard-White Star shipping lines from merging. In denying affirmative justice to I. M. M. in delivering the decision, said that it was impossible to hold that I. M. M. was entitled to maintain the action, since a requisite of such a suit is that the plaintiff be a shareholder in the company. P. A. S. Franklin, president of I. M. M., is opposed to the merger, said that the White Star Line owned its modern sii-000,000 for thirty-six ships. He added that I. M. M. holds stock in the Oceanic Steam Navigation Co., owner of White Star Line collateral. In the notice we are told that I. M. M. was not a shareholder in the Oceanic, explaining that the shares in question were vested in the trustees, and that the American company's interests were limited to having the proceeds of the sale applied towards any money due it.",INTERNATIONAL MERCANTILE MARINE COMPANY,International Mercantile Marine Co.,,,"Company possesses valuable terminal facilities at Liverpool, London, Southampton, Antwerp and Hamburg...",False,False,False,False,False,True,False,False
3270,21,3,66.95,533.889,527.35,546.289,"Paris, France; Paramoant Film Vertreib G. m. b. H, Berlin, Germany, N. V. Paramount Films, Amsterdam, Holland; ",German,3270,PARAMOUNT PUBLIX CORPORATION,"S. A. F. des Films Paramount, G. m. b. H., Berlin, Germany","Incorporated July 19, 1916, in New York as Famous Players-Lasky Film Co., later becoming Paramount Publix Corporation. The firm is engaged in producing and leasing motion picture negatives and positives, and owns/operates motion picture theatres, acting as both an operating and holding company. As of May 1934, it was reported to have over 350 subsidiaries, with at least one-third facing varying degrees of financial difficulty. Furthermore, on June 8, 1933, trustees in bankruptcy filed an action claiming Paramount Publix Corp. was insolvent when certain assets were transferred, alleging these transfers were preferential to creditor banks.",PARAMOUNT PUBLIX CORPORATION,"Paramount Pictures, Inc.","Paramount Film Vertrieb G.m.b.H., Berlin, Germany","Paramount Film Vertreib G. m. b. H., Berlin, Germany","Under section ""Foreign Subsidiaries""",True,False,False,True,False,False,False,False
3300,7,4,221.75,255.696,349.25,267.296,Deutsche Fox Film A.G. (Germany) ,German,3300,FOX FILM CORPORATION,Deutsche Fox Film A.G. (Germany),"Incorporated in New York on Feb. 1, 1915, with perpetual charter. Its chief business is the production, distribution, and exhibition of motion pictures, including news-reels (Fox Movietone News). The company distributes its product through 180 foreign and domestic branches and engages in exhibition primarily through its wholly-owned subsidiary, Wesco Corporation, which operates approximately 800 theatres. In Jan. 1933, it took over sale and distribution of Educational and World Wide Pictures. From Sept. 1, 1933, it had a five-year franchise with Radio-Keith-Orpheum Corp. to distribute 100% of Fox product in 48 RKO Theatres in the greater New York area. As of May 1, 1934, it had about 14,000 employees. Fox Film Corp. owns 49% of ordinary B shares of Metropolis & Bradford Trust Co., Ltd., which in turn owns 65% of Gaumont-British Picture Corp., the largest exhibitors in England. The company also owns a controlling interest in Movietonews, Inc. Control of the company shifted over time; General Theatres Equipment, Inc. acquired control in Apr. 1930, and by Jan. 1934, Chase National Bank, New York, stated it owned and controlled a majority of outstanding voting stock. An anti-trust suit was terminated by a court decree on Apr. 15, 1931, requiring the divestment of all stocks and interests in Loew's Inc. and preventing Fox interests from keeping Metro units.",FOX FILM CORPORATION,Twentieth Century-Fox Film Corp.,Deutsche Fox Film A.G. (Germany),,"Under section ""Subsidiaries""",True,False,True,False,False,False,False,False
3307,17,7,186.5,454.154,293.681,467.654,Deutsch Amerfkanlaehe Petro­,Deutsch,3307,Standard Oil Co.,"Deutsche Amerikanische Petroleum Aktiengesellschaft, Deutsche Gasolin A. G., German Hydrocarbon Co., German Oil Co., German Petroleum Co., German Petroleum Refining Co., German Pipe Line Co., German Production Co., German Tank Line Co., German Transport Co., German Wax Co., L. G. Farbenindustrie A. G. (partner in STANDAND-L. G. Co. and International Hydrogenation Patents Co.)","Following a dissolution decree, the company distributed its stock holdings in 33 companies in Dec. 1911 and early 1912. Standard Oil Development Co. was incorporated in 1923 (name changed 1927) for technical research and patent rights. Standard Oil Co. of New Jersey, Standard Shipping Co., and Stanco, Inc. were incorporated in 1927/1928, making the main Standard Oil Co. a holding company. As of Dec. 31, 1933, the firm and its subsidiaries employed 47,935 persons in the U.S. In May 1932, the company acquired foreign properties of Pan American Petroleum & Transport Co. STANDAND-L. G. Co. was incorporated in Oct. 1928 as a merger of interests of Standard Oil Co. (N. J.) and L. G. Farbenindustrie A. G. for hydrogenation development. International Hydrogenation Patents Co. was formed in 1931 through the fusion of interests of Standard Oil Co. of New Jersey, I. G. Farbenindustrie A. G. of Germany, and Royal Dutch.",Standard Oil Co. (New Jersey),Standard Oil Company (New Jersey),Deutsch Amerikanische Petroleum Ges. (Germany),,Under section Subsidiaries,True,False,True,False,False,False,False,False
3308,2,7,62.4,100.229,210.755,113.63,Germany. The International Hydrogens-,German,3308,Standard-Vacuum Oil Co.,Standard I. G. Co.,"Incorporated in Delaware, Standard-Vacuum Oil Co. is a fully integrated unit formed by the acquisition of properties from Vacuum Oil Co. and Standard Oil Co. (N. J.). It possesses crude supplies, refineries, marketing outlets, storage, and distributing facilities, with properties primarily located in India, China, Japan, South Africa, Dutch East Indies, Australia, and New Zealand. The company also acquired control of Koloniale (a Dutch subsidiary of Standard Oil (N. J.)) and Union Atlantic Co. Its capital stock of $10,000,000 is equally owned by Socony-Vacuum Co. and Standard Oil Co. (N. J.). German inventions and experience are made available to the company through Standard I. G. Co., which represents the fusion of hydrogenation interests between I. G. Farbenindustrie of Germany and Standard Oil Co. of Jersey.",Standard Oil Co. (New Jersey),Standard Oil Company (New Jersey),-,,Standard I. G. Co.; International Hydrogenation Patents Co.,False,False,False,False,False,False,False,True
